question,answer,metadata
please explain the process of obtaining the “receivables financing” service? (example 80), you will deliver the goods or services in accordance with the order to oyu tolgoi llc; you will receive the invoice from oyu tolgoi llc: you will submit a supplier credit request to xasbank and prepare the relevant documents; xasbank will conclude a relevant agreement with the supplier and provide financing in accordance with the agreement.  export letter of credit this example is created for demonstration purposes.,general
can citizens and legal entities who have never taken a loan before get a loan? (example 43)," yes. if you meet the loan criteria, a decision will be made on whether to grant a loan based on the review. this example is created for demonstration purposes.",general
can i get a business loan if i have a project loan? (example 90), if you meet the bank's criteria. this example is created for demonstration purposes.,general
what are the criteria to be met in order to receive the “supplier loan” service? (example 7)," be a supplier of oyu tolgoi llc; have a valid contract; receive payment for the supplied goods and services into the account of xasbank; if a special license is required to conduct the business activity, the special license must be obtained from the authorized organization;  this example is created for demonstration purposes.",general
what is the eligibility of salary loan? (example 34)," you can get salary loan if you have worked for a legal entity for at least 6 months, not in trial period, and working for a company that have cooperation agreement with xacbank. you are eligible if you changed your job without trail period.   миат credit card this example is created for demonstration purposes.",general
can i make amendments to an opened export letter of credit? (example 72)," to make amendments to an export letter of credit, you must submit an amendment to the letter of credit with the issuing bank in agreement with the importer. if you need assistance in making amendments, xasbank will contact the issuing bank to help you resolve your issue  this example is created for demonstration purposes.",general
please explain the process of obtaining the “receivables financing” service? (example 3), you will deliver the goods or services in accordance with the order to oyu tolgoi llc; you will receive the invoice from oyu tolgoi llc: you will submit a supplier credit request to xasbank and prepare the relevant documents; xasbank will conclude a relevant agreement with the supplier and provide financing in accordance with the agreement.  export letter of credit this example is created for demonstration purposes.,general
what is credit card? (example 58), credit card is one type of payment card and designed for non-cash transactions. cash repayment rates are higher than non-cash transactions. this example is created for demonstration purposes.,general
are foreign transaction accounts applicable for xacinfo? (example 65)," mnt, usd and cny accounts can be connected to xacinfo. the minimum transaction required for usd and rmb accounts are 1 usd and 1 cny.  this example is created for demonstration purposes.",general
when will customer of other banks receive my transferred money which i make through digital banking? (example 92)," if amount of the transfer is below 5.0 million mnt, money will be transferred on-time, the beneficiary will get the money same time of money sent. if the amount of the transfer is more than 5.0 million mnt, the transfer will process within 2 hours on weekdays.  if during weekend, transaction will complete next working days. this example is created for demonstration purposes.",general
what are the fees related to qpay transfer? (example 81)," transaction fees for using qpay are the same as internet banking transaction fees, as follows:  the service will have zero fee if the transaction or payment is between xacbank accounts. the service will be charged an interbank transaction fee, if the transaction or payment is made to another bank via scanning that bank’s qr sign.  salary loan this example is created for demonstration purposes.",general
can you do transactions between banks using mobile banking? (example 58)," you can transfer money between banks using xacbank mobile banking service.  transfer within xacbank - 100mnt,  interbank transfers - 300mnt. this example is created for demonstration purposes.",general
how to unlock my pin code? (example 87), after 5 wrong tries your mobile bank account will be locked. in order to unlock your account you have to visit the nearest branch or call 1800-1888 from registered phone number and request for new pin code. than dial *1888# number and enter new pin code this example is created for demonstration purposes.,general
what is ‘qpay service’? (example 48)," it is a service that allows xacbank internet banking customers to pay by scanning qr /qu-ar/ codes using the “xacbank” application for smartphones, create qr codes for their accounts, or create invoices and receive income to their accounts. this example is created for demonstration purposes.",general
are foreign transaction accounts applicable for xacinfo? (example 8)," mnt, usd and cny accounts can be connected to xacinfo. the minimum transaction required for usd and rmb accounts are 1 usd and 1 cny.  this example is created for demonstration purposes.",general
how to become a qpay service user? (example 83), you only need to be a xacbank internet banking user and install the xacbank application on your smartphone. this example is created for demonstration purposes.,general
can i make amendments to an opened export letter of credit? (example 87)," to make amendments to an export letter of credit, you must submit an amendment to the letter of credit with the issuing bank in agreement with the importer. if you need assistance in making amendments, xasbank will contact the issuing bank to help you resolve your issue  this example is created for demonstration purposes.",general
who is a guarantor? (example 95)," a citizen or legal entity that confirms to the bank that the borrower can repay the loan and interest within the period specified in the agreement and, if not, agrees to pay the loan on behalf of the borrower.  this example is created for demonstration purposes.",general
what are the criteria to receive the “supplier loan” service? (example 60)," be a supplier of oyu tolgoi llc; have a valid contract; receive payment for the goods and services supplied to the khasbank account; if a special license is required to conduct the business activity, the license must be obtained from the authorized body;  this example is created for demonstration purposes.",general
is it mandatory to visit the site for a loan investigation? (example 46), yes. a loan officer will visit your business on site and conduct a survey.  this example is created for demonstration purposes.,general
how to make online purchase? (example 72), please get an e-pin code from xacbank atm (without charge).  when you do online purchase provide with below card details:  16-digit number on the front of card; card expiration date; e-pin code from atm; cvv2 code at the back of the card.  this example is created for demonstration purposes.,general
how can i update my transaction limit? (example 17), for individual user:  please go to settings - manage limit section.   for legal entity’s user: legal entity can change its transaction limit by submitting a letter of request to the branch. this example is created for demonstration purposes.,general
can i take out a working capital loan and a fixed asset loan at the same time? (example 86)," yes. depending on the amount of collateral, business income can be taken at the same time. this example is created for demonstration purposes.",general
how to get a billing invoice? (example 80), the bank will notify you via your registred e-mail or text message to your mobile phone number (as per credit card terms). you are able to also check in credit card section in internet banking. this example is created for demonstration purposes.,general
how to fill out the letter of credit application form? (example 23), click here to see instructions on how to fill out the letter of credit application form. this example is created for demonstration purposes.,general
how to make online purchase? (example 76), please get an e-pin code from xacbank atm (without charge).  when you do online purchase provide with below card details:  16-digit number on the front of card; card expiration date; e-pin code from atm; cvv2 code at the back of the card.  this example is created for demonstration purposes.,general
who is a co-borrower? (example 77), a co-borrower is a person who has the same rights and obligations as the borrower in a loan agreement. this example is created for demonstration purposes.,general
can citizens and legal entities who have never taken a loan before get a loan? (example 88)," yes. if you meet the loan criteria, a decision will be made on whether to grant a loan based on the review. this example is created for demonstration purposes.",general
how to become a qpay service user? (example 9), you only need to be a xacbank internet banking user and install the xacbank application on your smartphone. this example is created for demonstration purposes.,general
how to change my login password or transaction code? (example 74)," if you want to change your login password or transaction code, please go to the settings - change password, then you can change your security codes. this example is created for demonstration purposes.",general
how to unlock my pin code? (example 60), after 5 wrong tries your mobile bank account will be locked. in order to unlock your account you have to visit the nearest branch or call 1800-1888 from registered phone number and request for new pin code. than dial *1888# number and enter new pin code this example is created for demonstration purposes.,general
how do i add or remove accounts to/from my internet banking? (example 99)," for individual user:  please go to settings - account settings, and check the account(s) that you want to add to the internet banking and click ""add account"" button. the function is available from xacbank mobile application also.  for legal entity’s user:  you can add account(s) to internet banking by submitting a letter of request and fill a request form. for removing account(s), you can use settings - account settings and check the account(s) that you want to remove and click ""remove account"" button. this example is created for demonstration purposes.",general
which countries in the world can hasbank issue import letters of credit? (example 43), hasbank will issue an import letter of credit to any country in the world where your customer is located. this example is created for demonstration purposes.,general
how to become a qpay service user? (example 64), you only need to be a xacbank internet banking user and install the xacbank application on your smartphone. this example is created for demonstration purposes.,general
what is included in movable assets? (example 77)," machinery, technical equipment, and equipment that are in normal operation.  this example is created for demonstration purposes.",general
how can i register for the service? (example 3), customers can access the service using xacbank’s internet banking application. the application can be downloaded to any android or iphone smartphone via the app store. this example is created for demonstration purposes.,general
what documents are required to open an import letter of credit? (example 49), if you deposit money into your account or open it with a source:  request for opening a letter of credit click here to download;  trade agreement or equivalent document.  if you open without a source:  request for opening a letter of credit click here to download;  trade agreement or equivalent document;  list of documents to be submitted by the bank borrower.  this example is created for demonstration purposes.,general
what is the difference between mobile banking 2.0 vs internet banking via phone (xacbank app)? (example 26)," the main feature of mobile banking 2.0 is that the service does not require internet connection, and can use your phone network to complete transactions such as intra & interbank transfers, loan payment and phone bill payment. in other words, the service does not require a smartphone or internet connection, and is available for users with 2g network. this example is created for demonstration purposes.",general
is loan interest rate lowers if i pay higher down payment? (example 3), yes /except cars with vehicle registration plates of mongolia/.  card this example is created for demonstration purposes.,general
10. how long does it take for a bank-to-bank transaction to be credited to the recipient's account? (example 72)," interbank transactions under 5 million tugriks made through digital banking will be transferred immediately, and transactions over 5 million tugriks will be transferred within 2 hours on business days.  if it is a weekend, it will be transferred to the next business day. this example is created for demonstration purposes.",general
is it mandatory to insure collateral? (example 91), assets financed by loans must be insured.  this example is created for demonstration purposes.,general
how can i update my transaction limit? (example 94), for individual user:  please go to settings - manage limit section.   for legal entity’s user: legal entity can change its transaction limit by submitting a letter of request to the branch. this example is created for demonstration purposes.,general
4. what if i forgot my login password? (example 28)," click on the “forgot password” link under the “login window”. enter the one-time password sent to your registered phone number and create a new password.  note: your password must be more than 8 digits long and contain any combination of uppercase and lowercase letters, numbers or symbols /ab2, ab@, a1@/. for example: naraa2, naraa@, naraaa2, etc. this example is created for demonstration purposes.",general
how much is commission fee of deposit backed loan? (example 55), there is no commission fee if you revolving amount within your loan limit. you should only pay the commission fee of 0.5% if you lengthen your tenor or increase your limit.   digital banking this example is created for demonstration purposes.,general
please explain the process of obtaining the “receivables financing” service? (example 12), you will deliver the goods or services in accordance with the order to oyu tolgoi llc; you will receive the invoice from oyu tolgoi llc: you will submit a supplier credit request to xasbank and prepare the relevant documents; xasbank will conclude a relevant agreement with the supplier and provide financing in accordance with the agreement.  export letter of credit this example is created for demonstration purposes.,general
how can i use qpay to make a payment? (example 64)," any person with access to the xacbank smartphone application can scan the recipient’s qr code or qpay sign. after checking the auto-filled account information for accuracy, the transfer can be approved. this example is created for demonstration purposes.",general
can loan repayments be exempted for a certain period of time? (example 30)," depending on the seasonal characteristics of the business and the frequency of income, principal payments may be exempted. only interest payments will be made during the months when principal payments are exempted.  this example is created for demonstration purposes.",general
what are the fees related to qpay transfer? (example 62)," transaction fees for using qpay are the same as internet banking transaction fees, as follows:  the service will have zero fee if the transaction or payment is between xacbank accounts. the service will be charged an interbank transaction fee, if the transaction or payment is made to another bank via scanning that bank’s qr sign.  salary loan this example is created for demonstration purposes.",general
9. how to increase your transaction limit through digital banking? (example 73), for individual customers: change the limit through the settings menu of the digital bank.  for legal entities: fill out the internet bank information change request form and contact any branch of the bank with an official letter. this example is created for demonstration purposes.,general
how to get a billing invoice? (example 94), the bank will notify you via your registred e-mail or text message to your mobile phone number (as per credit card terms). you are able to also check in credit card section in internet banking. this example is created for demonstration purposes.,general
can non-own assets be pledged for a business loan? (example 79)," yes. depending on the loan amount, a certain amount of collateral can be taken. this example is created for demonstration purposes.",general
8. how to add or remove accounts from digital bank services? (example 40), for individual customers:  you can add or remove accounts using the account management menu in the settings menu of the internet bank.  for legal entities: fill out the internet bank information change request form and contact any branch of the bank with an official letter. this example is created for demonstration purposes.,general
5. what if i forgot my transaction password? (example 81)," enter the transaction (interbank transaction or intrabank) as if you are going to make a transaction (interbank transaction or intrabank transaction), click on the ""forgot transaction password"" link under the transaction password window and enter your new transaction password. this example is created for demonstration purposes.",general
how to become a qpay service user? (example 48), you only need to be a xacbank internet banking user and install the xacbank application on your smartphone. this example is created for demonstration purposes.,general
to which countries in the world can xasbank issue guarantees? (example 52), xasbank will issue guarantees to any country in the world where your client is located.  this example is created for demonstration purposes.,general
8. how to add or remove accounts from digital bank services? (example 71), for individual customers:  you can add or remove accounts using the account management menu in the settings menu of the internet bank.  for legal entities: fill out the internet bank information change request form and contact any branch of the bank with an official letter. this example is created for demonstration purposes.,general
how to fill out the letter of credit application form? (example 35), click here to see instructions on how to fill out the letter of credit application form. this example is created for demonstration purposes.,general
who can i get more detailed information about external guarantees from? (example 57), you can visit your nearest xacbank branch to get more detailed information quickly.  digital banking this example is created for demonstration purposes.,general
can i get a business loan if i have a project loan? (example 18), if you meet the bank's criteria. this example is created for demonstration purposes.,general
9. how to increase your transaction limit through digital banking? (example 1), for individual customers: change the limit through the settings menu of the digital bank.  for legal entities: fill out the internet bank information change request form and contact any branch of the bank with an official letter. this example is created for demonstration purposes.,general
7. how to change your password? (example 27)," if you change your login or transaction password, you can change your password by selecting the change password submenu from the settings menu of digital bank. this example is created for demonstration purposes.",general
how to fill out the letter of credit application form? (example 36), click here to see instructions on how to fill out the letter of credit application form. this example is created for demonstration purposes.,general
is it mandatory to provide the bank with updated financial information during the loan period? (example 80), the loan agreement stipulates that the bank must provide all the information requested by it.  supplier loan this example is created for demonstration purposes.,general
6. what if i forgot my digital bank login name? (example 24)," click on the ""forgot username"" link under the ""login window"". enter the one-time password sent to the registered phone number and get your login name. you can call the customer service center at 1800-1888 or visit any branch in person.  this example is created for demonstration purposes.",general
"how to use it, that is, how to make a payment? (example 17)"," every customer who can make a payment by scanning qr codes will scan a payment invoice or sign containing a qr code and then proceed with the transaction after reviewing the detailed breakdown that appears. fees to be paid by the customer when paying using qr:  the transaction is considered an internet banking transaction.  if a hasbank customer makes a transaction to a merchant created by hasbank or created by someone else who has an account with hasbank, there is no transaction fee.  if a hasbank customer makes a transaction to a customer created by another bank or who has selected their account as a merchant account, an interbank transaction fee will be charged.  frequently asked questions and answers about business loans this example is created for demonstration purposes.",general
which countries in the world can hasbank issue import letters of credit? (example 11), hasbank will issue an import letter of credit to any country in the world where your customer is located. this example is created for demonstration purposes.,general
when will customer of other banks receive my transferred money which i make through digital banking? (example 9)," if amount of the transfer is below 5.0 million mnt, money will be transferred on-time, the beneficiary will get the money same time of money sent. if the amount of the transfer is more than 5.0 million mnt, the transfer will process within 2 hours on weekdays.  if during weekend, transaction will complete next working days. this example is created for demonstration purposes.",general
is digital banking available on my mobile phone? (example 31)," yes, you can upload our internet banking application on android or ios  smart phones. this example is created for demonstration purposes.",general
"if sales income is transferred through a bank account other than xasbank, will a loan be granted? (example 93)", granted. income will be confirmed by the bank statement for the last 6 months of the bank account through which sales income is transferred.  this example is created for demonstration purposes.,general
how to become a qpay service user? (example 75), you only need to be a xacbank internet banking user and install the xacbank application on your smartphone. this example is created for demonstration purposes.,general
how can i register for the service? (example 2), customers can access the service using xacbank’s internet banking application. the application can be downloaded to any android or iphone smartphone via the app store. this example is created for demonstration purposes.,general
is it mandatory to visit the site for a loan investigation? (example 48), yes. a loan officer will visit your business on site and conduct a survey.  this example is created for demonstration purposes.,general
when will customer of other banks receive my transferred money which i make through digital banking? (example 10)," if amount of the transfer is below 5.0 million mnt, money will be transferred on-time, the beneficiary will get the money same time of money sent. if the amount of the transfer is more than 5.0 million mnt, the transfer will process within 2 hours on weekdays.  if during weekend, transaction will complete next working days. this example is created for demonstration purposes.",general
what documents should be submitted? (example 57), company profile and application; management shareholder profile and copy of id card; invoice certified by oyu tolgoi llc; supply agreement concluded with oyu tolgoi llc; special license required to conduct the business activity / if a special license is required /; other.  this example is created for demonstration purposes.,general
"if sales income is transferred through a bank account other than xasbank, will a loan be granted? (example 77)", granted. income will be confirmed by the bank statement for the last 6 months of the bank account through which sales income is transferred.  this example is created for demonstration purposes.,general
1. how to register for digital banking services? (example 85)," to download the xacbank digital app or log in via the web, click https://digital.xacbank.mn/xacbaseapp/; please bring your citizen's electronic id card to any xacbank branch or unit near you.  the legal entity that is the customer:  write an official letter about registering for the service, fill out the xacbank form, and visit the nearest branch.  this example is created for demonstration purposes.",general
how to fill out the letter of credit application form? (example 8), click here to see instructions on how to fill out the letter of credit application form. this example is created for demonstration purposes.,general
where can i get more information about import letters of credit? (example 25), visit your nearest khasbank branch for more information.  supplier loan this example is created for demonstration purposes.,general
who is a co-borrower? (example 11), a co-borrower is a person who has the same rights and obligations as the borrower in a loan agreement. this example is created for demonstration purposes.,general
what is the difference between mobile banking 2.0 vs internet banking via phone (xacbank app)? (example 26)," the main feature of mobile banking 2.0 is that the service does not require internet connection, and can use your phone network to complete transactions such as intra & interbank transfers, loan payment and phone bill payment. in other words, the service does not require a smartphone or internet connection, and is available for users with 2g network. this example is created for demonstration purposes.",general
what to do when lost/stolen you card? (example 22)," please call the customer service center at 1800-1888. the card will be temporarily closed, you will have to open the card and request the card at the nearest xacbank branch and settlement center if you find your card if you want to order a new card, please go to your branch to order a new card. lost/stolen card is not reported to bank immediately, any unrecognized transactions would be cardholder's responsobility. this example is created for demonstration purposes.",general
are foreign transaction accounts applicable for xacinfo? (example 60)," mnt, usd and cny accounts can be connected to xacinfo. the minimum transaction required for usd and rmb accounts are 1 usd and 1 cny.  this example is created for demonstration purposes.",general
can you do transactions between banks using mobile banking? (example 40)," you can transfer money between banks using xacbank mobile banking service.  transfer within xacbank - 100mnt,  interbank transfers - 300mnt. this example is created for demonstration purposes.",general
when will customer of other banks receive my transferred money which i make through digital banking? (example 48)," if amount of the transfer is below 5.0 million mnt, money will be transferred on-time, the beneficiary will get the money same time of money sent. if the amount of the transfer is more than 5.0 million mnt, the transfer will process within 2 hours on weekdays.  if during weekend, transaction will complete next working days. this example is created for demonstration purposes.",general
how much is commission fee of deposit backed loan? (example 85), there is no commission fee if you revolving amount within your loan limit. you should only pay the commission fee of 0.5% if you lengthen your tenor or increase your limit.   digital banking this example is created for demonstration purposes.,general
what to do if i forgot my transaction code? (example 90)," please make transaction and you are able to see ""forgot transaction code"" and provide your credentials. using the otp that will be sent to your mobile phone,  you can create/update the transaction code. this example is created for demonstration purposes.",general
what is the eligibility of salary loan? (example 29)," you can get salary loan if you have worked for a legal entity for at least 6 months, not in trial period, and working for a company that have cooperation agreement with xacbank. you are eligible if you changed your job without trail period.   миат credit card this example is created for demonstration purposes.",general
what documents are required to open an import letter of credit? (example 15), if you deposit money into your account or open it with a source:  request for opening a letter of credit click here to download;  trade agreement or equivalent document.  if you open without a source:  request for opening a letter of credit click here to download;  trade agreement or equivalent document;  list of documents to be submitted by the bank borrower.  this example is created for demonstration purposes.,general
who can i get more detailed information about external guarantees from? (example 96), you can visit your nearest xacbank branch to get more detailed information quickly.  digital banking this example is created for demonstration purposes.,general
what collateral is required for a business loan? (example 24)," real estate, movable property, and current assets are pledged.  this example is created for demonstration purposes.",general
how do i know if an export letter of credit has been opened in the name of my organization? (example 55)," as a xasbank customer, we will notify you by phone or letter as soon as your export letter of credit has been opened.  this example is created for demonstration purposes.",general
how to register xacinfo service? (example 64), you can visit your closest xacbank branch along with your id card call our call center at 1800 – 1800 or you can register yourself using your xacbank internet bank account.  this example is created for demonstration purposes.,general
can i take out a working capital loan and a fixed asset loan at the same time? (example 91)," yes. depending on the amount of collateral, business income can be taken at the same time. this example is created for demonstration purposes.",general
what to do if i forgot my transaction code? (example 10)," please make transaction and you are able to see ""forgot transaction code"" and provide your credentials. using the otp that will be sent to your mobile phone,  you can create/update the transaction code. this example is created for demonstration purposes.",general
is it mandatory to provide the bank with updated financial information during the loan period? (example 65), the loan agreement stipulates that the bank must provide all the information requested by it.  supplier loan this example is created for demonstration purposes.,general
"if sales income is transferred through a bank account other than xasbank, will a loan be granted? (example 80)", granted. income will be confirmed by the bank statement for the last 6 months of the bank account through which sales income is transferred.  this example is created for demonstration purposes.,general
what documents are required to open an external guarantee? (example 34)," guarantee with a source:  request for a guarantee; relevant documents such as a performance contract or a cooperation agreement, depending on the type of guarantee.  unsourced guarantee:  request for a guarantee; relevant documents such as a performance contract or a cooperation agreement, depending on the type of guarantee; relevant documents for a bank loan.  this example is created for demonstration purposes.",general
how do i add or remove accounts to/from my internet banking? (example 65)," for individual user:  please go to settings - account settings, and check the account(s) that you want to add to the internet banking and click ""add account"" button. the function is available from xacbank mobile application also.  for legal entity’s user:  you can add account(s) to internet banking by submitting a letter of request and fill a request form. for removing account(s), you can use settings - account settings and check the account(s) that you want to remove and click ""remove account"" button. this example is created for demonstration purposes.",general
what to do if i forgot my login password? (example 58)," click on button “forgot password” just below “login window” and enter your credentials. once you’ve done, otp will be sent to your mobile phone. using the otp you can create/update the password.  note: your password must be at least 8 characters containing a combination of at least three of the following characters: uppercase letters, lowercase letters, numbers or symbols. for instance, james2, james@, jamesa2 etc. this example is created for demonstration purposes.",general
can non-own assets be pledged for a business loan? (example 33)," yes. depending on the loan amount, a certain amount of collateral can be taken. this example is created for demonstration purposes.",general
how to register xacinfo service? (example 36), you can visit your closest xacbank branch along with your id card call our call center at 1800 – 1800 or you can register yourself using your xacbank internet bank account.  this example is created for demonstration purposes.,general
can i get a business loan if i have a housing loan or other household loans? (example 67)," yes. if you are able to repay the loan with your business income according to the loan research, you can get a business loan. this example is created for demonstration purposes.",general
where can i get more information about import letters of credit? (example 48), visit your nearest khasbank branch for more information.  supplier loan this example is created for demonstration purposes.,general
how can i get more information about export letters of credit? (example 89), please visit your nearest xasbank branch for more information.  car loan this example is created for demonstration purposes.,general
‘what is qpay service? (example 82), a service that eases customer transactions through unique qr codes for each customer. customers are able to make and receive payments through use of the qr codes on the xacbank internet banking application. this example is created for demonstration purposes.,general
can i use mobile bank 2.0 while in abroad? (example 67), yes. you can use mobile bank 2.0 service enabling message roaming service.   qpay service this example is created for demonstration purposes.,general
can citizens and legal entities who have never taken a loan before get a loan? (example 39)," yes. if you meet the loan criteria, a decision will be made on whether to grant a loan based on the review. this example is created for demonstration purposes.",general
what to do if i forgot my login password? (example 45)," click on button “forgot password” just below “login window” and enter your credentials. once you’ve done, otp will be sent to your mobile phone. using the otp you can create/update the password.  note: your password must be at least 8 characters containing a combination of at least three of the following characters: uppercase letters, lowercase letters, numbers or symbols. for instance, james2, james@, jamesa2 etc. this example is created for demonstration purposes.",general
can you do transactions between banks using mobile banking? (example 68)," you can transfer money between banks using xacbank mobile banking service.  transfer within xacbank - 100mnt,  interbank transfers - 300mnt. this example is created for demonstration purposes.",general
what are the criteria to be met in order to receive the “supplier loan” service? (example 22)," be a supplier of oyu tolgoi llc; have a valid contract; receive payment for the supplied goods and services into the account of xasbank; if a special license is required to conduct the business activity, the special license must be obtained from the authorized organization;  this example is created for demonstration purposes.",general
can loan repayments be exempted for a certain period of time? (example 66)," depending on the seasonal characteristics of the business and the frequency of income, principal payments may be exempted. only interest payments will be made during the months when principal payments are exempted.  this example is created for demonstration purposes.",general
how much do xacinfo service charge? (example 99), each transaction information via text message fee – 50 mnt; each transaction information via email - 0 mnt; text message and email fee -50 mnt.  this example is created for demonstration purposes.,general
what to do if i forgot my login name? (example 16)," click on button “forgot user id” just below “login window” and enter your credentials. once you’ve done, otp will be sent to your mobile phone. using the otp you are able to see your user id. please dial to our call center 1800-1888 or visit to the nearest branch.  this example is created for demonstration purposes.",general
what are the criteria to be met in order to receive the “supplier loan” service? (example 6)," be a supplier of oyu tolgoi llc; have a valid contract; receive payment for the supplied goods and services into the account of xasbank; if a special license is required to conduct the business activity, the special license must be obtained from the authorized organization;  this example is created for demonstration purposes.",general
