question,answer,product_name,link,advantages,terms,conditions,benefits,requirements,metadata
What are the requirements for Investment loan?,"Have business income to prove your financial capacity to repay the loan;
    Have operated the business for more than 6 months;
    Possess movable or immovable properties to pledge.

Required documents

INDIVIDUALS:

    Client Application form (XacBank form, 1 copy of photo) (only for the first time loan applicants);
    Business Loan application form; /XacBank form/;
    Copies of ID Cards;
    Business related documents / Special permits, patents, and licenses/;
    Worksite documents /rent agreement, receipts of most recent rental payments /;
    In case operational licenses are required, patents, licenses, and permits granted by authorities, and rental agreement;
    Certificate of ownership of apartments, houses and land ;
    Miscellaneous.

LEGAL ENTITIES:

    Business loan application /XacBank form/;
    State Registration Certificate of Legal Entities (together with a notarized copy);
    Photo of the management and a copy of ID Card /only for the first time loan applicants/;
    Notarized copy of the Founding Agreement;
    A copy of Corporate Statute verified by Taxation Authorities;
    A copy of financial statement for the previous year and the last quarter verified by Taxation Authorities;
    A copy of contract and agreement on the activities to be financed by loan;
    Ownership certificates of collateral assets;
    Miscellaneous.",Investment loan,https://xacbank.mn/product/25?lang=en,"The size of the loan depends on your business scope and financial capacities;
    Clients with good loan history, holding current account and savings deposit accounts at XacBank will enjoy lower interest rate on loan;
    We offer flexible repayment schedule to match your business features and seasonal characteristics and give grace period of up to 24 months period;
    We can finance your additional demand with a repeat loan even if you already have an outstanding loan with the Bank.","Loan type	Investment loan
Loan size
	Up to 2.5 billion MNT
 Loan period
	up to 60 months
Interest rate
	Monthly	₮: 1.6% - 2.00%
$: 1.10% - 1.50%
Annual	₮: 19.2% - 24.0%
$: 13.2% - 18.0%
Interest rate can be decreased depending on the deposit amount and loan cycle /number of loans/ of the customer.
Service fee
	MNT - 0.5%
USD - 1%
For more information:
	Phone: 70110057, 70110058
Website: www.lgf.mn","If you need additional financing to purchase equipment or acquire work place besides the working capital, we recommend you “fixed asset and equipment financing loan”.",You can apply for a a Investment loan if you wish to invest in your business at the most flexible terms which suit your business needs.,"Have business income to prove your financial capacity to repay the loan;
    Have operated the business for more than 6 months;
    Possess movable or immovable properties to pledge.

Required documents

INDIVIDUALS:

    Client Application form (XacBank form, 1 copy of photo) (only for the first time loan applicants);
    Business Loan application form; /XacBank form/;
    Copies of ID Cards;
    Business related documents / Special permits, patents, and licenses/;
    Worksite documents /rent agreement, receipts of most recent rental payments /;
    In case operational licenses are required, patents, licenses, and permits granted by authorities, and rental agreement;
    Certificate of ownership of apartments, houses and land ;
    Miscellaneous.

LEGAL ENTITIES:

    Business loan application /XacBank form/;
    State Registration Certificate of Legal Entities (together with a notarized copy);
    Photo of the management and a copy of ID Card /only for the first time loan applicants/;
    Notarized copy of the Founding Agreement;
    A copy of Corporate Statute verified by Taxation Authorities;
    A copy of financial statement for the previous year and the last quarter verified by Taxation Authorities;
    A copy of contract and agreement on the activities to be financed by loan;
    Ownership certificates of collateral assets;
    Miscellaneous.","Loan size

up to mnt 2.5 Billion

loan period

60 months

interest rate /mnt/

Monthly: 1.6%-2.0%

Annual: 19.2% - 24.0%

interest rate /usd/

Monthly: 1.10%-1.50%

Annual: 13.20% - 18.00%"
Can you explain the terms for SME Business Loan for GHG Emission Reduction?,"Loan condition
Business loan
Commission fee
currency
MNT
USD
MNT
USD
monthly	annual	monthly	annual
Interest rate per month
For any businesses
1.25%
15.00%
0.85%
10.20%	1%
0.5%
Loan period
up to 5 years*Women-led MSMEs (micro, small and medium size enterprises) can benefit from the lower interest rate if they meet one of the following conditions:

At least 40% of the total employees are women;
At least 51% of company owned by women;
At least 30% of senior managers are women.",SME Business Loan for GHG Emission Reduction,https://xacbank.mn/product/102?lang=en,Not Provided,"Loan condition
Business loan
Commission fee
currency
MNT
USD
MNT
USD
monthly	annual	monthly	annual
Interest rate per month
For any businesses
1.25%
15.00%
0.85%
10.20%	1%
0.5%
Loan period
up to 5 years*Women-led MSMEs (micro, small and medium size enterprises) can benefit from the lower interest rate if they meet one of the following conditions:

At least 40% of the total employees are women;
At least 51% of company owned by women;
At least 30% of senior managers are women.","LOAN PERIOD

5 YEARS

interest rate 

MNT: 

Monthly: 1.25%

Annual: 15.00%

usd: 

Monthly: 0.85%

Annual: 10.20%",Not Provided,"Үл хөдлөх болон хөдлөх хөрөнгө, бусад;
Үндсэн төлбөрөөс чөлөөлөгдөх хугацаа 12 сар хүртэл.ХасБанкны маягтын дагуу анкет;
Бизнесийн танилцуулга;
Хуулийн этгээдийн гэрчилгээ, дүрэм, үүсгэн байгуулсан гэрээ;
Санхүүгийн тайлан /1-2жил/;
Бизнесийн үйл ажиллагааны зөвшөөрөл, лиценз, патент;
Хүлэмжийн хийн ялгарал эсхүл эрчим хүчийг 20-с доошгүй хувиар бууруулж буйг баталсан сертификат эсхүл лабораторийн дүгнэлт зэрэг бичиг баримт /Зөвхөн тодорхой нэр төрлийн бүтээгдэхүүний хувьд*/;
Бусад банк санхүүгийн байгууллагаас авч байсан сүүлийн зээлийн түүх;
Зээлээр санхүүжүүлэх үйл ажиллагаатай холбоотой гэрээ хэлцэл;
Барьцаа хөрөнгөтэй холбоотой бичиг баримтууд;
Бусад.
* Эрчим хүчний хэмнэлттэй зуух, сайжруулсан түлш, вакуум цонх, барилгын дулаалгын материал.","Who is eligible? Any businesses that produces, trades, or installs products reducing GHG emissions by at least 20%. Any end users of products that reduce GHG emissions by at least 15%.
Building Retrofit (Lighting)
Wiring;
Transformers;
Electricity metering devices.
Building Retrofit (Structural)
Insulation (structural or piping);
Insulated building materials;
Ventilation.
Heating and Cooling
HOB improvement or replacement;
Air conditioning;
Heat metering;
Ventilation.
Equipment Replacement
Energy-efficient appliances;
Manufacturing equipment;
Processing equipment (water usage or water treatment equipment);
Refrigeration systems.
Waste-to-Energy
Waste heat recovery (Manufacturing of cement, brick, or cashmere);
Waste incineration (to produce heat or electricity).

Renewable Energy/Alternative Energy
Solar, wind, water, geothermal system (solar water heater);
Diesel and renewable energy hybrid generators;
Biogas;
Biomass.
Alternative Fuels/Engine Conversion
LPG use (gas appliances);
LPG conversion;
Biodiesel production (alternative fuel production);
Smokeless fuels (coal briquettes, biomass briquettes, saw dust briquettes).
Others
Any other installation or project that can verifiably reduce GHG emissions by at least 20%."
What are the conditions to apply for Platinum card (VISA)?,"Annual fee
300,000 MNT
Maximum daily cash withdrawal limit
MNT 20,000,000
Maximum daily purchase limit (POS)
MNT 20,000,000
Card replacement fee
-
PIN code recovery fee
-
Annual fee for a supplementary fee
MNT 50,000
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/
0.25%
At XacBank branch /MNT/
MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM
MNT 1000 or equal currency
Cash withdrawal at “Bank of Inner Mongolia” branches
Maximum daily limit 200,000 CNY
Minimum single transaction amount 10,000 CNY",Platinum card (VISA),https://xacbank.mn/product/109?lang=en,Not Provided,Not Provided,"Annual fee
300,000 MNT
Maximum daily cash withdrawal limit
MNT 20,000,000
Maximum daily purchase limit (POS)
MNT 20,000,000
Card replacement fee
-
PIN code recovery fee
-
Annual fee for a supplementary fee
MNT 50,000
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/
0.25%
At XacBank branch /MNT/
MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM
MNT 1000 or equal currency
Cash withdrawal at “Bank of Inner Mongolia” branches
Maximum daily limit 200,000 CNY
Minimum single transaction amount 10,000 CNY","Make payments both domestically and internationally without any problem;
You will be able to proceed international payments using your MNT account, where non-cash exchange rate will apply depending on the currency of your transactions;
Accumulate interest on your account balance;
Sub-cards at discounted terms;
No minimum balance is required;
Link all your current accounts at XacBank to your payment card and make payments and settlements using internet bank and ATM.
Additionally, you will enjoy other services during your overseas travel. For instance:

Priority Pass which comes along with the Platinum Card is a Membership pass which allows you to use VIP lounges at the over 600 international airports worldwide. VIP lounges will offer you the following service:
Internet;
Meeting room;
Snacks and drinks;
Comfortable and cozy environment.
You will find a list of VIP lounges from www.prioritypass.com webpage.

Information assistance;
Discount at internationally recognized merchants;
Access to information of hotels and resorts /address, time table, phone number/ and make reservation;
Access to plane ticket and flight schedule and make reservation.",If Mongolian citizen - Id or international passport of Mongolia;,"Maximum daily cash withdrawal limit

20,000,000 MNT

Maximum daily purchase limit (POS)

20,000,000 MNT

XacBank ATM cash out fee

0 MNT"
What are the requirements for Market news and information providing services?,Not Provided,Market news and information providing services,https://xacbank.mn/product/120?lang=en,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
What are the conditions to apply for Internet banking?,Not Provided,Internet banking,https://xacbank.mn/product/74?lang=en,"Internet banking services will provide you and your business with our complete range of services in a simple, reliable, and safe way regardless of time while saving your valuable time and space.",Not Provided,Not Provided,"Internet banking functions ...
Interbank transactions;
Transactions within XacBank accounts;
International transactions via SWIFT;
Create standing orders to set automatic transfers;
Receive and print account statements;
Check the balance in any of your accounts;
Check loan repayment schedule;
Reminders of expiry date for savings accounts, cards, and loan repayment dates.","Internet banking advantages ...
Safety – All transactions will be validated by authorized staff of the organization.

Additionally, it is possible to change staff authorization rights according to client specifications.

Reliability – To ensure security of transactions and confidentiality of your account we use modern world-class security and a variety of technologies and tools, including THAWTE certificate and Vasco device.

Fast – While all your transactions are made online you can simultaneously obtain any account balance or statement as well. 

Easy - From any device connected to the Internet, you can use Internet banking services regardless of the time and place.","Apply at any XacBank branch to set up Internet Banking service agreement; the following documents are required:

Copy of state registration certificate for legal entity;
Copy of electronic ID card of employees authorized to use internet banking service /not required to be certified by notary/;
Completed application for Internet Banking /Bank official form/.
To apply for Internet banking service, it is mandatory to have an opened account at XacBank."
What are the conditions to apply for Investment loan?,Not Provided,Investment loan,https://xacbank.mn/product/123?lang=en,Not Provided,"condition
mnt
usd
Loan amount
Depends on business requirements
Interest rate /monthly/
1.5%- 1.8%
1.1% - 1.5%
/18.0% -21.6%/ per annul
/13.2% - 18.0%/ per annul
Loan period
 Up to 60 months
Service fee
1.00%
0.5%
Loan application fee
0 MNT",Not Provided,Not Provided,"In operation for the past 6 months;
To have the required business license from the relevant authority, valid until the loan maturity, or in case of special licenses with set periods, availability to obtain an extension until loan matures;
No previous bad credit history with other banks, financial institutions, individuals or legal entities;
Maintains accounting records which are up to date and accurate with regards to the operation of the business; in case of legal entities, accounting bookkeeping;
Provide accurate and complete information as required by the bank;
In case of establishment of a legal entity during the process of doing business, said legal entity should have no bad credit history or bankruptcy record.XacBank application form;
Business background;
Certificate of legal entity, charter and founders’ agreement;
Financial statements (last 1-3 years);
Business permits, licenses, and patents;
Land ownership and occupancy certificates;
Recent credit history from other banks and financial institutions;
Agreements and transactions relevant to activities to be financed by loan;
Documents relevant to collateral assets.","Loan amount

Flexible depending on business scope and financial solvency

Loan period

up to 60 months

monthly Interest rate

MNT: 1.5%-1.8%

usd: 1.1%-1.5%"
What are the requirements for Investment loan?,"In operation for the past 6 months;
To have the required business license from the relevant authority, valid until the loan maturity, or in case of special licenses with set periods, availability to obtain an extension until loan matures;
No previous bad credit history with other banks, financial institutions, individuals or legal entities;
Maintains accounting records which are up to date and accurate with regards to the operation of the business; in case of legal entities, accounting bookkeeping;
Provide accurate and complete information as required by the bank;
In case of establishment of a legal entity during the process of doing business, said legal entity should have no bad credit history or bankruptcy record.XacBank application form;
Business background;
Certificate of legal entity, charter and founders’ agreement;
Financial statements (last 1-3 years);
Business permits, licenses, and patents;
Land ownership and occupancy certificates;
Recent credit history from other banks and financial institutions;
Agreements and transactions relevant to activities to be financed by loan;
Documents relevant to collateral assets.",Investment loan,https://xacbank.mn/product/123?lang=en,Not Provided,"condition
mnt
usd
Loan amount
Depends on business requirements
Interest rate /monthly/
1.5%- 1.8%
1.1% - 1.5%
/18.0% -21.6%/ per annul
/13.2% - 18.0%/ per annul
Loan period
 Up to 60 months
Service fee
1.00%
0.5%
Loan application fee
0 MNT",Not Provided,Not Provided,"In operation for the past 6 months;
To have the required business license from the relevant authority, valid until the loan maturity, or in case of special licenses with set periods, availability to obtain an extension until loan matures;
No previous bad credit history with other banks, financial institutions, individuals or legal entities;
Maintains accounting records which are up to date and accurate with regards to the operation of the business; in case of legal entities, accounting bookkeeping;
Provide accurate and complete information as required by the bank;
In case of establishment of a legal entity during the process of doing business, said legal entity should have no bad credit history or bankruptcy record.XacBank application form;
Business background;
Certificate of legal entity, charter and founders’ agreement;
Financial statements (last 1-3 years);
Business permits, licenses, and patents;
Land ownership and occupancy certificates;
Recent credit history from other banks and financial institutions;
Agreements and transactions relevant to activities to be financed by loan;
Documents relevant to collateral assets.","Loan amount

Flexible depending on business scope and financial solvency

Loan period

up to 60 months

monthly Interest rate

MNT: 1.5%-1.8%

usd: 1.1%-1.5%"
Can you explain the terms for Intorduction?,Not Provided,Intorduction,https://xacbank.mn/product/116?lang=en,"By choosing XacBank, the bank will not only provide you with the following services but we will become a valuable business partner in your everyday business. 

Your everyday banking needs and services will be met with our comprehensive banking solutions.
Enjoy a pleasant time at our branches as trained professionals provide expeditious services. 
Long term relationship with experienced professional. 
Special training on banking solutions. 
Special banking solutions tailored to your financial needs. 
Business meetings dedicated for SME executives and entrepreneurs to network and build relationships.
News and information on banking solutions, special offers, and discounts.",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
What are the advantages of Import Letter of Credit?,"The import L/C is a payment undertaking by XacBank to the foreign importer. XacBank will fulfill its payment obligation when the terms stipulated in the L/C are complied with.

With a structured and clearly defined Letter of Credit you can conduct your business anywhere around the world. A letter of credit is an undertaking by a bank on a buyer’s behalf to make payment for goods or services provided by the supplier within prescribed time period and against stipulated documents, this reliable payment instrument can give you an opportunity to pay for goods after receipt or after a specific time period and increases the opportunities of importers to negotiate better prices.

Advantages:
Secures a trade for both buyer and seller; importers submit payment after receiving goods and exporters can sell and/or produce goods regardless of the buyer’s solvency;
No legal risk as it is regulated by ICC's “Uniform Customs and Practice”;
Possibility to arrange additional financing with the issuing bank..",Import Letter of Credit,https://xacbank.mn/product/84?lang=en,"The import L/C is a payment undertaking by XacBank to the foreign importer. XacBank will fulfill its payment obligation when the terms stipulated in the L/C are complied with.

With a structured and clearly defined Letter of Credit you can conduct your business anywhere around the world. A letter of credit is an undertaking by a bank on a buyer’s behalf to make payment for goods or services provided by the supplier within prescribed time period and against stipulated documents, this reliable payment instrument can give you an opportunity to pay for goods after receipt or after a specific time period and increases the opportunities of importers to negotiate better prices.

Advantages:
Secures a trade for both buyer and seller; importers submit payment after receiving goods and exporters can sell and/or produce goods regardless of the buyer’s solvency;
No legal risk as it is regulated by ICC's “Uniform Customs and Practice”;
Possibility to arrange additional financing with the issuing bank..",Not Provided,"terms
fee
Issuing a documentary credit
0.1 % (min. USD 75, max. USD 250)
Increasing LC amount ( from the increased amount)
0.2 % (min. USD 25, max. USD 150)
Document discrepancy (per set of documents)
USD 50
Amendment to terms and conditions (per amendment)
USD 40
Cancellation of LC
USD 30
DC inquiry
USD 20
Uncovered LC risk fee
As per decision by the Credit Committee of the Bank.
Uncovered LC credit analysis fee
As per standard terms and conditions of the Business Loan.
Additional fees associated with the foreign bank services and courier may apply.",Not Provided,Not Provided,Not Provided
What are the conditions to apply for SME Business Loan for GHG Emission Reduction?,"LOAN PERIOD

5 YEARS

interest rate 

MNT: 

Monthly: 1.25%

Annual: 15.00%

usd: 

Monthly: 0.85%

Annual: 10.20%",SME Business Loan for GHG Emission Reduction,https://xacbank.mn/product/102?lang=en,Not Provided,"Loan condition
Business loan
Commission fee
currency
MNT
USD
MNT
USD
monthly	annual	monthly	annual
Interest rate per month
For any businesses
1.25%
15.00%
0.85%
10.20%	1%
0.5%
Loan period
up to 5 years*Women-led MSMEs (micro, small and medium size enterprises) can benefit from the lower interest rate if they meet one of the following conditions:

At least 40% of the total employees are women;
At least 51% of company owned by women;
At least 30% of senior managers are women.","LOAN PERIOD

5 YEARS

interest rate 

MNT: 

Monthly: 1.25%

Annual: 15.00%

usd: 

Monthly: 0.85%

Annual: 10.20%",Not Provided,"Үл хөдлөх болон хөдлөх хөрөнгө, бусад;
Үндсэн төлбөрөөс чөлөөлөгдөх хугацаа 12 сар хүртэл.ХасБанкны маягтын дагуу анкет;
Бизнесийн танилцуулга;
Хуулийн этгээдийн гэрчилгээ, дүрэм, үүсгэн байгуулсан гэрээ;
Санхүүгийн тайлан /1-2жил/;
Бизнесийн үйл ажиллагааны зөвшөөрөл, лиценз, патент;
Хүлэмжийн хийн ялгарал эсхүл эрчим хүчийг 20-с доошгүй хувиар бууруулж буйг баталсан сертификат эсхүл лабораторийн дүгнэлт зэрэг бичиг баримт /Зөвхөн тодорхой нэр төрлийн бүтээгдэхүүний хувьд*/;
Бусад банк санхүүгийн байгууллагаас авч байсан сүүлийн зээлийн түүх;
Зээлээр санхүүжүүлэх үйл ажиллагаатай холбоотой гэрээ хэлцэл;
Барьцаа хөрөнгөтэй холбоотой бичиг баримтууд;
Бусад.
* Эрчим хүчний хэмнэлттэй зуух, сайжруулсан түлш, вакуум цонх, барилгын дулаалгын материал.","Who is eligible? Any businesses that produces, trades, or installs products reducing GHG emissions by at least 20%. Any end users of products that reduce GHG emissions by at least 15%.
Building Retrofit (Lighting)
Wiring;
Transformers;
Electricity metering devices.
Building Retrofit (Structural)
Insulation (structural or piping);
Insulated building materials;
Ventilation.
Heating and Cooling
HOB improvement or replacement;
Air conditioning;
Heat metering;
Ventilation.
Equipment Replacement
Energy-efficient appliances;
Manufacturing equipment;
Processing equipment (water usage or water treatment equipment);
Refrigeration systems.
Waste-to-Energy
Waste heat recovery (Manufacturing of cement, brick, or cashmere);
Waste incineration (to produce heat or electricity).

Renewable Energy/Alternative Energy
Solar, wind, water, geothermal system (solar water heater);
Diesel and renewable energy hybrid generators;
Biogas;
Biomass.
Alternative Fuels/Engine Conversion
LPG use (gas appliances);
LPG conversion;
Biodiesel production (alternative fuel production);
Smokeless fuels (coal briquettes, biomass briquettes, saw dust briquettes).
Others
Any other installation or project that can verifiably reduce GHG emissions by at least 20%."
Can you explain the terms for Safety deposit box?,Not Provided,Safety deposit box,https://xacbank.mn/product/89?lang=en,"We will protect your irreplaceable valuables, documentation, cash and other items truly safe.

Advantages:

Reliability and security for your valuables;
Only you are aware of the items in the box;
Armored with double walls and fully complies the safety;
All complex is monitored by 24-hour signaling and security system;
Open access to the box as frequently as you wish during business hours;
As your request, tenancy of the box is as long as you want;
The box can either be shared or entrusted.",Not Provided,"Commission and fee:

Fee type
Monthly fee /MNT/
Contract
-
Extend contract
-
Box type
Small box
10,000
Medium box
12,000
Big box
15,000
Large box
20,000
Key replacement
10,000",Not Provided,"ID card for person.
For legal entity

Copy of State Registration Certificate;
Copy of charter of the company;
Copy of ID card or passport of authorized person acting on behalf of the legal entity.",Not Provided
