question,answer,metadata_branch_name,metadata_address,metadata_timetable,metadata_phone,metadata_opening_time,metadata_closing_time
where is the efes supermarket atm branch located?,"micro-region #6, district #13, efes supermarket, infront of wrestling palace",efes supermarket atm,"micro-region #6, district #13, efes supermarket, infront of wrestling palace",mon-sun: 08:45-23:45,18001888,08:45,23:45
where is the dornod branch branch located?,"xacbank building, chit street, 6th bag, kherlen soum
what3words: /// discouraged.earphones.forget",dornod branch,"xacbank building, chit street, 6th bag, kherlen soum
what3words: /// discouraged.earphones.forget","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for 21st microdistrict branch branch?,"opening time: 08:30, closing time: 16:30",21st microdistrict branch,"building no.101, #101, sodon khoroolol, 6th khoroo, songinohairhan district 
what3words: /// paints.fights.dimension","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at xacbank building, 5th bag, renchinpeljee street, arvaikheer soum
what3words: /// printouts.harshest.firework?","xacbank building, 5th bag, renchinpeljee street, arvaikheer soum
what3words: /// printouts.harshest.firework",uvurhangay branch,"xacbank building, 5th bag, renchinpeljee street, arvaikheer soum
what3words: /// printouts.harshest.firework","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what are the opening hours for ulaangom branch, express atm  branch?","opening time: 09:00, closing time: 21:00","ulaangom branch, express atm ","uvs province, ulaangom, xac bank ulaangom branch ",mon-sun 9am-9pm,1800-1888,09:00,21:00
"is the altjin bumbugur, express atm branch open on sunday?",yes,"altjin bumbugur, express atm","2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, 1st floor ","mon-sun 10am-12pm
wednesday closed",1800-1888,10:00,19:59
"what is the name of the branch located at xacbank building, 1st bag, zuunmod soum, 
what3words: /// pretends.unsteady.median?","xacbank building, 1st bag, zuunmod soum, 
what3words: /// pretends.unsteady.median",zuunmod branch,"xacbank building, 1st bag, zuunmod soum, 
what3words: /// pretends.unsteady.median","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what are the opening hours for khan jargalant shopping center, express atm   branch?","opening time: 09:00, closing time: 20:00","khan jargalant shopping center, express atm  ","bulgan province, udval street, khan jargalant shopping center",mon-sun 9am-8pm,1800-1888,09:00,20:00
"what are the opening hours for khuvsgul erkhes market, express atm  branch?","opening time: 09:00, closing time: 23:00","khuvsgul erkhes market, express atm ","khuvsgul province, murun, erkhes market branch",mon-sun 9am-23pm,1800-1888,09:00,23:00
"what is the name of the branch located at 11st khoroo, sambalkhundev road, khuchitshonkhor market?","11st khoroo, sambalkhundev road, khuchitshonkhor market","khuchitshonkhor branch, express bank  atm","11st khoroo, sambalkhundev road, khuchitshonkhor market",mon-sun 6am-5pm,1800-1888,06:00,17:00
where is the national trauma and orthopedic research center  atm branch located?,"7th khoroo, ard ayush avenue, national trauma and orthopedic research center, 1st floor ",national trauma and orthopedic research center  atm,"7th khoroo, ard ayush avenue, national trauma and orthopedic research center, 1st floor ",mon-fri 07:30am-18:00pm,1800-1888,07:30,18:00
"what are the opening hours for grand plaza, express atm  branch?","opening time: 10:00, closing time: 21:00","grand plaza, express atm ","2nd khoroo, grand plaza",mon-sun 10am-21pm,1800-1888,10:00,21:00
what are the opening hours for ikh ord lobby crm branch?,"opening time: 00:00, closing time: 23:59",ikh ord lobby crm,"14th khoroo, namyanju street, ikh ord shopping center, xacbank ikh ord branch",mon-sun 24 hours,1800-1888,00:00,23:59
"what is the name of the branch located at 11st khoroo, khuvisgal road, bayakhoshuu khutul center?","11st khoroo, khuvisgal road, bayakhoshuu khutul center",khutul center atm,"11st khoroo, khuvisgal road, bayakhoshuu khutul center",mon-sun 10pm-11pm,1800-1888,10:00,23:00
is the tumbaash branch branch open on sunday?,yes,tumbaash branch,"ard ayush avenue, 15th khoroo, 3rd microdistrict, bayangol district
what3words: ///crafts.singer.seaweed ","monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",1800-1888,09:00,17:00
where is the zuunharaa branch branch located?,"xacbank building, 3rd bag, mandal soum, 
what3words: /// spout.cooking.smirking",zuunharaa branch,"xacbank building, 3rd bag, mandal soum, 
what3words: /// spout.cooking.smirking","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at 32st khoroo, 22 tovchoo m mart?","32st khoroo, 22 tovchoo m mart","22 tovchoo m mart, express bank atm","32st khoroo, 22 tovchoo m mart",mon-sun 08-22 hour,1800-1888,07:00,21:59
"what are the opening hours for tedy center, express atm  branch?","opening time: 09:00, closing time: 20:00","tedy center, express atm ","5th khoroo, west selbe street, tedy center, 3nd floor ",mon-sun 9am-8pm,1800-1888,09:00,20:00
where is the orgil shopping center атм branch located?,"bayan-ulgii province, ulgii, orgil shopping center ",orgil shopping center атм,"bayan-ulgii province, ulgii, orgil shopping center ",mon-sun 9am-9pm,1800-1888,09:00,21:00
is the buyant-ukhaa market atm branch open on sunday?,yes,buyant-ukhaa market atm,"micro-region #9, nisekh district, buyant-ukhaa market",mon-sun: 10:00-21:00,1800-1888,10:00,21:00
is the orbit altai market atm branch open on sunday?,yes,orbit altai market atm,"micro-region #1, orbit busstation, orbit market","wednesday: closed
mon-sun: 9:00-20:00 ",1800-1888,09:00,20:00
what are the opening hours for guyen mini market atm branch?,"opening time: 08:00, closing time: 23:00",guyen mini market atm,"bayanzurkh district, 28 th khoroo, the gachuurt road, khujirbulan, guyen mini market ",mon-sun 8am-11pm,1800-1888,08:00,23:00
"where is the dornod kherlen tt, express атм branch located?","dornod province, kherlen, trade street, tana market","dornod kherlen tt, express атм","dornod province, kherlen, trade street, tana market",mon-sun 9am-07pm,1800-1888,09:00,19:00
where is the hanbogd branch branch located?,"ikh ulziit center 2nd floor, tsag uur-2 street, #8, khanbogd soum
what3words: /// sharpens.ladles.worthier",hanbogd branch,"ikh ulziit center 2nd floor, tsag uur-2 street, #8, khanbogd soum
what3words: /// sharpens.ladles.worthier","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the khid 2 shopping center  atm branch open on sunday?,yes,khid 2 shopping center  atm,"2nd khoroo, north of variete center, khid 2 shopping center ",tue-sun 9:30pm-9pm,1800-1888,09:30,21:00
what are the opening hours for bayanzurkh 05 branch lobby atm branch?,"opening time: 00:00, closing time: 23:59",bayanzurkh 05 branch lobby atm,"13rd khoroo, enkhtaivan avenue, 92a-1",mon-sun 24 hour,1800-1888,00:00,23:59
"what is the name of the branch located at chingeltei district, 14th khoroo, khailaast, dalaikhuu market ?","chingeltei district, 14th khoroo, khailaast, dalaikhuu market ",dalaikhuu atm,"chingeltei district, 14th khoroo, khailaast, dalaikhuu market ",mon-sun 10am-7 pm,1800-1888,10:00,19:00
what are the opening hours for ikh mongol branch branch?,"opening time: 09:00, closing time: 17:00",ikh mongol branch,"ikh mongol plaza 1st floor, 11th khoroo, khan-uul district
what3words: ///moves.sweeter.blogging","monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",1800-1888,09:00,17:00
"what is the name of the branch located at chingeltei district, intersection of shadvilan camp, demchig mini market
?","chingeltei district, intersection of shadvilan camp, demchig mini market
",demchig khairkhan mini market atm,"chingeltei district, intersection of shadvilan camp, demchig mini market
",mon-sun 9am-12 pm,1800-1888,09:00,23:59
where is the unur branch express bank atm branch located?,"micro-region #17, moscow avenue, unur branch",unur branch express bank atm,"micro-region #17, moscow avenue, unur branch",mon-sun: 8 am-12 pm,1800-1888,09:00,19:00
where is the nalaikh mini market атм branch located?,"nalaikh, 4th khoroo, altai 1/14, mini market ",nalaikh mini market атм,"nalaikh, 4th khoroo, altai 1/14, mini market ",mon-sun 9am-12pm,1800-1888,09:00,23:59
where is the tsogttsetsii branch branch located?,"xacbank building, tsetsii bag, tsogttsetseii soum
what3words: /// finds.intimates.aerobics",tsogttsetsii branch,"xacbank building, tsetsii bag, tsogttsetseii soum
what3words: /// finds.intimates.aerobics","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the xacbank orgil branch express atm branch open on sunday?,yes,xacbank orgil branch express atm,"micro-region #1, zaisan road, orgil center, xacbank orgil branch",mon-sun 9:00-22:00,1800-1888,09:00,22:00
is the burd center atm branch open on sunday?,yes,burd center atm,"micro-region #12, burd center","tue-sun 09:00-20:00  
monday closed",1800-1888,09:00,20:00
what are the opening hours for khargant market атм branch?,"opening time: 09:00, closing time: 20:00",khargant market атм,"zavkhan province, tosontsengel, trade street, khargant market",mon-sun 9am-8pm,1800-1888,09:00,20:00
"what is the name of the branch located at 1st floor, solo mall, 13th horoo, bayangol district
what3words: /// alerting.comedians.urban?","1st floor, solo mall, 13th horoo, bayangol district
what3words: /// alerting.comedians.urban",bayangol branch,"1st floor, solo mall, 13th horoo, bayangol district
what3words: /// alerting.comedians.urban","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at selenge province, mandal, tod 2 shopping center ?","selenge province, mandal, tod 2 shopping center ","tod 2 shopping center, express atm ","selenge province, mandal, tod 2 shopping center ",mon-sun 9am-9pm,1800-1888,09:00,21:00
what are the opening hours for nisekh branch atm branch?,"opening time: 07:00, closing time: 23:59",nisekh branch atm,"16th khoroo, wes sonsgolon street, nisekh branch xac bank",mon-sun 7am-12pm,1800-1888,07:00,23:59
where is the belkhi uugan center atm branch located?,"micro-region #18, belkhi uugan tuv supermarket",belkhi uugan center atm,"micro-region #18, belkhi uugan tuv supermarket",mon-sun: 08-24,nan,08:00,23:59
where is the delgerhaan branch branch located?,"murun market place, 4th bag, murun soum,
what3words: /// librarian.importers.ramps",delgerhaan branch,"murun market place, 4th bag, murun soum,
what3words: /// librarian.importers.ramps","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for amgalan m-mart atm branch?,"opening time: 09:00, closing time: 23:00",amgalan m-mart atm,"bayanzurkh, amgalan m-mart",mon-sun 9am-11pm,1800-1888,09:00,23:00
what are the opening hours for e-mart khan-uul express crm-atm branch?,"opening time: 09:00, closing time: 22:00",e-mart khan-uul express crm-atm,"15th khoroo, ikh mongol street 71, e-mart khan-uul",09:00am-10:00pm,1800-1888,09:00,22:00
"what is the name of the branch located at 1st floor, tushig center, seoul street, 4th horoo, sukhbaatar district
what3words: /// joys.ally.reduction?","1st floor, tushig center, seoul street, 4th horoo, sukhbaatar district
what3words: /// joys.ally.reduction",tushig branch,"1st floor, tushig center, seoul street, 4th horoo, sukhbaatar district
what3words: /// joys.ally.reduction","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for post office atm branch?,"opening time: 09:00, closing time: 20:00",post office atm,"ulgii sum, central post office",09:00 - 20:00,1800-1888,09:00,20:00
"what is the name of the branch located at 16th khoroo, dandarbaatar street, tsaiz branch?","16th khoroo, dandarbaatar street, tsaiz branch",tsaiz branch атм,"16th khoroo, dandarbaatar street, tsaiz branch",даваа-ням 24 цаг,1800-1888,00:00,23:59
what are the opening hours for arvaiheer branch branch?,"opening time: 08:30, closing time: 16:30",arvaiheer branch,"1st floor, khangamj shopping center, 5th bag, arvaikheer soum
what3words: /// greet.creamed.task","monday - friday: 08:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the nalaikh mini market атм branch located?,"nalaikh, 4th khoroo, altai 1/14, mini market ",nalaikh mini market атм,"nalaikh, 4th khoroo, altai 1/14, mini market ",mon-sun 9am-12pm,1800-1888,09:00,23:59
is the zavhan branch branch open on sunday?,yes,zavhan branch,"xacbank building, jinst bag, uliastai soum
what3words: /// waddled.papers.comforted","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"is the sodon, express atm   branch open on sunday?",yes,"sodon, express atm  ","6th khoroo, sodon khoroolol, sansar supermarket",mon-sun 8am-10pm,1800-1888,08:00,22:00
"is the unur branch, express bank атм branch open on sunday?",yes,"unur branch, express bank атм","17th khoroo, 1st microdistrict, unur branch xac bank ",mon-sun 6am-12pm,1800-1888,06:00,23:59
is the nisdeg mashin auto market branch open on sunday?,yes,nisdeg mashin auto market,"5th khoroo, ikh toiruu, nisdeg mashin autom market ",mon-sun 10am-7pm,1800-1888,10:00,19:00
"what is the name of the branch located at micro-region # 18, peace avenue, dragon center, ?","micro-region # 18, peace avenue, dragon center, ",dragon center bus terminal atm,"micro-region # 18, peace avenue, dragon center, ",mon-sun: 09:00-24:00,1800-1888,00:00,23:59
where is the shine orgil supermarket атм branch located?,"tuv province, zuunmod, enkhjin town, shine orgil supermarket",shine orgil supermarket атм,"tuv province, zuunmod, enkhjin town, shine orgil supermarket",mon-sun 8am-11pm,1800-1888,09:00,20:00
what are the opening hours for infectious hospital administration building атм branch?,"opening time: 08:00, closing time: 23:59",infectious hospital administration building атм,"14th khoroo, infectious hospital administration building ",mon-sun 8pm-12pm,1800-1888,08:00,23:59
where is the automobile purchase loan center 1 branch located?,"301-304, block b, autocom shopping center, 32nd khoroo, songinokhairkhan district
///possessors.showered.trustees",automobile purchase loan center 1,"301-304, block b, autocom shopping center, 32nd khoroo, songinokhairkhan district
///possessors.showered.trustees","monday - sunday: 8:30am-4:30pm
tuesday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at bayanzurkh district, 19th khoroo, da khuree street, auto hall ?","bayanzurkh district, 19th khoroo, da khuree street, auto hall ",da khuree auto hall atm,"bayanzurkh district, 19th khoroo, da khuree street, auto hall ","mon-sun 9am-8pm
closed",1800-1888,09:00,20:00
is the tsogttsetsii atm branch open on sunday?,yes,tsogttsetsii atm,"tsogttsetsii province, uguumur 4th bag, minimarket ",24 hour,1800-1888,00:00,23:59
is the bayanzurkh tovchoo sansar suljee market branch open on sunday?,yes,bayanzurkh tovchoo sansar suljee market," 22 tovchoo, sansar suljee market",mon-sun: 08:00-22:00,nan,08:00,23:00
where is the farmet market атм branch located?,"4th khoroo, yarmag, farmer market ",farmet market атм,"4th khoroo, yarmag, farmer market ",mon-sun 10am-8pm,1800-1888,10:00,20:00
is the kharkhorin market атм branch open on sunday?,yes,kharkhorin market атм,"20th khoroo, 1st microdisrict, moscow road, kharkhorin market","tue-sun 9am-7pm
monday closed",1800-1888,09:00,19:00
"what are the opening hours for umnugovi branch, express atm branch?","opening time: 00:00, closing time: 23:59","umnugovi branch, express atm","umnugovi province, dalanzadgad, sambuu street, xac bank umnugovi branch",mon-sun 24 hour,1800-1888,00:00,23:59
where is the da khuree auto hall atm branch located?,"bayanzurkh district, 19th khoroo, da khuree street, auto hall ",da khuree auto hall atm,"bayanzurkh district, 19th khoroo, da khuree street, auto hall ","mon-sun 9am-8pm
closed",1800-1888,09:00,20:00
is the hutul branch branch open on sunday?,yes,hutul branch,"15th building, central street, sayhan soum
what3words: /// cashews.pantomimed.kidneys","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at 7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank?","7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank",sukhbaatar branch lobby atm,"7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank",mon-sun 24 hours,1800-1888,00:00,23:59
is the alt sar market atm branch open on sunday?,yes,alt sar market atm,"13th committee, 17th station, chingeltei district, alt sar market ",mon-sun 9am-12pm,1800-1888,09:00,23:59
"is the selenge branch, express atm  branch open on sunday?",yes,"selenge branch, express atm ","selenge province, sukhbaatar, xac bank selenge branch",mon-sun 24 hour,1800-1888,00:00,23:59
"what is the name of the branch located at 14th khoroo, namyanju street, ikh ord shopping center, xacbank ikh ord branch?","14th khoroo, namyanju street, ikh ord shopping center, xacbank ikh ord branch",ikh ord branch атм,"14th khoroo, namyanju street, ikh ord shopping center, xacbank ikh ord branch",mon-sun 9am-7pm,1800-1888,09:00,19:00
what are the opening hours for max market express atm branch?,"opening time: 08:00, closing time: 23:00",max market express atm,"19th khoroo, suu co, ltd-max market",mon-sun 8am-11pm,1800-1888,08:00,23:00
is the yarmag ulziit supermarket атм branch open on sunday?,yes,yarmag ulziit supermarket атм,"khan-uul district, 6th khoroo, yarmag ulziit supermarket",mon-sun 8am-10pm,1800-1888,08:00,21:59
"where is the bayalag-undraa market, express atm-2 branch located?","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ","bayalag-undraa market, express atm-2","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ","mon-sun 8am-8pm  
tuesday closed",1800-1888,08:00,20:00
is the arkhangai buren hypermarket atm branch open on sunday?,yes,arkhangai buren hypermarket atm,arkhangai tsetserleg,mon-sun 10:00-21:00,nan,10:00,21:00
what are the opening hours for govisumber branch atm branch?,"opening time: 00:00, closing time: 23:59",govisumber branch atm,"govisumber province, sumber, minii supermarket ",mon-sun 8am-11pm,1800-1888,00:00,23:59
where is the unur branch express bank atm branch located?,"micro-region #17, moscow avenue, unur branch",unur branch express bank atm,"micro-region #17, moscow avenue, unur branch",mon-sun: 8 am-12 pm,1800-1888,09:00,19:00
where is the uran gan atm branch located?,uran gan center,uran gan atm,uran gan center,mon-sun 09:00-18:00,nan,09:00,18:00
what are the opening hours for narlag market atm branch?,"opening time: 10:00, closing time: 20:00",narlag market atm,"altai sum, mongolia post",mon-sun 10:00-20:00,1800-1888,10:00,20:00
where is the az market atm branch located?,"18th committee, chingeltei road, chingeltei district, az  market",az market atm,"18th committee, chingeltei road, chingeltei district, az  market",mon-sun 8am-11pm,1800-1888,08:00,23:00
"is the tushig branch, express bank атм branch open on sunday?",yes,"tushig branch, express bank атм","4th khoroo, seoul road, tushig branc xac bank",mon-sun 24 hour,1800-1888,07:00,23:59
is the khasbank central atm branch open on sunday?,yes,khasbank central atm,"micro-region #8, prime minister amar`s street, xacbank hq building",24 hour,1800-1888,00:00,23:59
where is the khangai region shopping center атм branch located?,"orkhon province, bayan-undur, uurkhaichin, khangai region shopping center ",khangai region shopping center атм,"orkhon province, bayan-undur, uurkhaichin, khangai region shopping center ",mon-sun 10am-7pm,1800-1888,10:00,19:00
where is the bat-undral arivjikh mini market atm branch located?,"3rd khoroo, tolgoit road, songinokhairkhan district, infront of 65th school, bat-undral arivjikh mini market ",bat-undral arivjikh mini market atm,"3rd khoroo, tolgoit road, songinokhairkhan district, infront of 65th school, bat-undral arivjikh mini market ",mon-sun 9am-12pm,1800-1888,09:00,23:59
where is the ikh toiruu khudaldaanii tuv атм branch located?,"9st khoroo, ikh toiruu, market",ikh toiruu khudaldaanii tuv атм,"9st khoroo, ikh toiruu, market",mon-sun 9am-12pm,1800-1888,09:00,20:00
"where is the western region shopping center, express atm  branch located?","bayanlkhongor province, bayankhongor, western region shopping center ","western region shopping center, express atm ","bayanlkhongor province, bayankhongor, western region shopping center ",mon-sun 10am-18pm,1800-1888,10:00,18:00
is the sayamaa market атм branch open on sunday?,yes,sayamaa market атм," 9th khoroo, west sonsgolon street, nisekh sayamaa market ",mon-sun 8am-8pm,1800-1888,08:00,20:00
"what are the opening hours for sansar market, express atm branch?","opening time: 10:00, closing time: 20:00","sansar market, express atm","7th khoroo, b. dorj street, computer information technology university, sansar market","mon-sun 10am-8pm
wednesday closed",1800-1888,10:00,20:00
what are the opening hours for king restaurant атм branch?,"opening time: 09:00, closing time: 19:00",king restaurant атм,"khovd province, jargalant, ikh mongol towm, king restaurant ",mon-sun 9am-7pm,1800-1888,09:00,19:00
what are the opening hours for shine huns market atm branch?,"opening time: 09:00, closing time: 23:50",shine huns market atm,"micro-region #27, dari eh, shine huns market",mon- sun: 09:00-23:50,nan,09:00,23:50
"where is the khuchirshonkhor branch, express bank  atm branch located?","11st khoroo, sambalkhundev road, khuchitshonkhor market","khuchirshonkhor branch, express bank  atm","11st khoroo, sambalkhundev road, khuchitshonkhor market",mon-sun 6am-5pm,1800-1888,06:00,17:00
"what is the name of the branch located at 14th khoroo, sun road, bayanzurkh district, bayalag undraa center ?","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ","bayalag-undraa market, express atm-2","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ","mon-sun 8am-8pm  
tuesday closed",1800-1888,08:00,20:00
what are the opening hours for narlag denj market atm branch?,"opening time: 08:00, closing time: 18:00",narlag denj market atm,"11st khoroo, sambalkhundev road, narlag denj market",mon-sun 8am-6pm,18001888,08:00,18:00
"what is the name of the branch located at 12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ?","12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",songinokhairkhan branch lobby crm-atm-2,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",mon-sun 24 hours,1800-1888,00:00,23:59
"where is the tumbaash branch, express atm  branch located?","15th khoroo, 3rd microdistrict, tumbaash branch xac bank ","tumbaash branch, express atm ","15th khoroo, 3rd microdistrict, tumbaash branch xac bank ",mon-sun 6am-12pm,1800-1888,06:00,23:59
"what are the opening hours for sutain buyant zakh,express bank атм branch?","opening time: 09:00, closing time: 17:59","sutain buyant zakh,express bank атм","18th khoroo, moscow road, sutain buyant zakh",mon-sun 9-18 hour,1800-1888,09:00,17:59
what are the opening hours for bayanzurkh trade center atm branch?,"opening time: 10:00, closing time: 22:00",bayanzurkh trade center atm,"micro-region #16, district #16, bayanzurkh trade center","wednesday closed
mon-sun: 10:00-22:00  ",nan,10:00,22:00
is the da khuree auto hall atm branch open on sunday?,yes,da khuree auto hall atm,"bayanzurkh district, 19th khoroo, da khuree street, auto hall ","mon-sun 9am-8pm
closed",1800-1888,09:00,20:00
"where is the khuchitshonkhor branch, express bank  atm branch located?","11st khoroo, sambalkhundev road, khuchitshonkhor market","khuchitshonkhor branch, express bank  atm","11st khoroo, sambalkhundev road, khuchitshonkhor market",mon-sun 6am-5pm,1800-1888,06:00,17:00
"what is the name of the branch located at 6th khoroo, sodon khoroolol, sansar supermarket?","6th khoroo, sodon khoroolol, sansar supermarket",sodon sansar supermarket atm,"6th khoroo, sodon khoroolol, sansar supermarket",mon-sun 8:30am-10pm,1800-1888,08:30,22:00
"what is the name of the branch located at 19th khoroo, suu co, ltd-max market?","19th khoroo, suu co, ltd-max market",max market express atm,"19th khoroo, suu co, ltd-max market",mon-sun 8am-11pm,1800-1888,08:00,23:00
"what is the name of the branch located at steppe arena, express bank atm?","steppe arena, express bank atm","steppe arena, express bank atm","steppe arena, express bank atm",mon-sun 24 hour open,1800-1888,07:00,23:59
"is the kharkhorin market, express atm branch open on sunday?",yes,"kharkhorin market, express atm","20th khoroo, 1st microdisrict, moscow road, kharkhorin market, b1 floor ","tue-sun 9pm-19pm
mon closed",1800-1888,09:00,19:00
what are the opening hours for bayalag mini market atm branch?,"opening time: 08:00, closing time: 23:59",bayalag mini market atm,"2nd khoroo, tolgoit street, tolgoit old terminal, bayalag mini market ",mon-sun 8am-12pm,1800-1888,08:00,23:59
"what is the name of the branch located at 11st khoroo, river street, nomin supermarket ?","11st khoroo, river street, nomin supermarket ","nomin supermarket, express atm  ","11st khoroo, river street, nomin supermarket ",mon-sun 9am-10pm,nan,09:00,23:59
"what are the opening hours for khusel center, express atm branch?","opening time: 14:12, closing time: 14:12","khusel center, express atm","14th khoroo, chingeltei avenue, 7th station, khusel center ",mon-sun 10pm-12pm,1800-1888,14:12,14:12
is the hongor branch branch open on sunday?,yes,hongor branch,"2nd floor, tselmeg ugluu shopping center, 1st bag, bayankhongor soum
what3words: /// roofing.bluffed.uproots","monday - friday: 10:00am-6:00pm
saturday, sunday: сlosed",1800-1888,10:00,18:00
what are the opening hours for norjin minii delguur atm branch?,"opening time: 08:30, closing time: 20:30",norjin minii delguur atm,"micro-region #4, district #15, peace avenue, norjin minii delguur",mon-sun: 08:30-20:30,nan,08:30,20:30
where is the arkhangai buren hypermarket atm branch located?,arkhangai tsetserleg,arkhangai buren hypermarket atm,arkhangai tsetserleg,mon-sun 10:00-21:00,nan,10:00,21:00
where is the orbit altai market atm branch located?,"micro-region #1, orbit busstation, orbit market",orbit altai market atm,"micro-region #1, orbit busstation, orbit market","wednesday: closed
mon-sun: 9:00-20:00 ",1800-1888,09:00,20:00
is the ng supermarket  атм branch open on sunday?,yes,ng supermarket  атм,"2nd khoroo, narangiin gol new bus station, ng supermarket ",mon-sun 8am-11pm,1800-1888,08:00,23:00
where is the tsogttsetsii atm branch located?,"tsogttsetsii province, uguumur 4th bag, minimarket ",tsogttsetsii atm,"tsogttsetsii province, uguumur 4th bag, minimarket ",24 hour,1800-1888,00:00,23:59
what are the opening hours for narantuul chandmani center express atm branch?,"opening time: 07:00, closing time: 23:59",narantuul chandmani center express atm,"micro-region #14, narni rd, left side of narantuul market","tuesday closed.
mon-sun: open 24 hours",nan,07:00,23:59
"what is the name of the branch located at dalanzadgad sum,  ?","dalanzadgad sum,  ",tsogjavkhlan atm,"dalanzadgad sum,  ",9am-12pm,1800-1888,09:00,23:59
"where is the tsogttsetsii branch, express atm branch located?",crm umnugovi tsogttsetsii branch атм,"tsogttsetsii branch, express atm",crm umnugovi tsogttsetsii branch атм,mon-sun 24 hour,1800-1888,00:00,23:59
"is the western region shopping center, express atm  branch open on sunday?",yes,"western region shopping center, express atm ","bayanlkhongor province, bayankhongor, western region shopping center ",mon-sun 10am-18pm,1800-1888,10:00,18:00
"what is the name of the branch located at 4th khoroo, seoul road, tushig branc xac bank?","4th khoroo, seoul road, tushig branc xac bank","tushig branch, express bank атм","4th khoroo, seoul road, tushig branc xac bank",mon-sun 24 hour,1800-1888,06:00,23:59
what are the opening hours for hongor branch branch?,"opening time: 10:00, closing time: 18:00",hongor branch,"2nd floor, tselmeg ugluu shopping center, 1st bag, bayankhongor soum
what3words: /// roofing.bluffed.uproots","monday - friday: 10:00am-6:00pm
saturday, sunday: сlosed",1800-1888,10:00,18:00
what is the name of the branch located at nalaikh zuun khuree delguur?,nalaikh zuun khuree delguur,nalaikh zuun khuree delguur atm,nalaikh zuun khuree delguur,mon-sun 8am-8pm,18001888,08:00,20:00
what are the opening hours for nomin united store atm branch?,"opening time: 10:00, closing time: 21:00",nomin united store atm,"micro-region #2, chinggis avenue, nomin united store",mon-sun: 10:00-21:00,1800-1888,10:00,21:00
is the e-mart khan-uul express crm-atm branch open on sunday?,yes,e-mart khan-uul express crm-atm,"15th khoroo, ikh mongol street 71, e-mart khan-uul",09:00am-10:00pm,1800-1888,09:00,22:00
where is the circus atut атм branch located?,"2th khoroo, 220k, circus atut, 1st floor ",circus atut атм,"2th khoroo, 220k, circus atut, 1st floor ",08:30-17:30 hour,1800-1888,08:30,17:30
"is the khishig shopping center, express atm   branch open on sunday?",yes,"khishig shopping center, express atm  ","khovd province, jargalant, alag tolgoi, khishig shopping center",mon-sun 8am-11pm,1800-1888,08:00,23:00
"where is the janjin market, amgalan atm branch located?","12nd khoroo, avenue of the police academy, janjin market ","janjin market, amgalan atm","12nd khoroo, avenue of the police academy, janjin market ",mon-sun 10am-8pm,1800-1888,10:00,20:00
"what is the name of the branch located at 2nd khoroo, chinggis avenue, misheel expo shopping center ?","2nd khoroo, chinggis avenue, misheel expo shopping center ",misheel expo shopping center,"2nd khoroo, chinggis avenue, misheel expo shopping center ",mon-sun 9am78pm,1800-1888,09:00,19:00
"what is the name of the branch located at 5th khoroo, baruun altan ulgii street, monel funtik grocery store ?","5th khoroo, baruun altan ulgii street, monel funtik grocery store ",monel funtik grocery store атм,"5th khoroo, baruun altan ulgii street, monel funtik grocery store ",mon-sun 9am-12pm,1800-1888,09:00,23:59
