Question,Answer,branch_name,address,phone,timetable,open_time,close_time,question,answer,metadata
what time does bayanzurkh 05 branch lobby crm-atm-1 close?,23:59,bayanzurkh 05 branch lobby crm-atm-1,"13rd khoroo, enkhtaivan avenue, 92a-1",1800-1888,mon-sun 24 hours,00:00,23:59,,,
"is da khuree, one-stop service center atm open on saturday?",closed,"da khuree, one-stop service center atm","bayanzurkh district, 17th khoroo, da khuree auto market, one-stop service center ",1800-1888,tue-sun 10am-7pm,10:00,19:00,,,
what time does taats alt market atm close?,23:59,taats alt market atm,"22nd khoroo, 6th microdistrict, taats alt hotel and supermarket ",1800-1888,24 hour,00:00,23:59,,,
"what are the opening hours of kharkhorin market, express atm on monday?",closed,"kharkhorin market, express atm","20th khoroo, 1st microdisrict, moscow road, kharkhorin market, b1 floor ",1800-1888,"tue-sun 9pm-19pm
mon closed",09:00,19:00,,,
can i visit narantuul branch on sunday?,closed,narantuul branch,"baylag undraa shopping center, narantuul international commercial center, 14th khoroo, bayanzurkh district
what3words: /// sulked.dusters.continues",1800-1888,"monday-saturday: 9:00am-05:00pm
tuesday, sunday: сlosed",09:00,17:00,,,
what is the phone number of uliastai bayalag market atm?,,uliastai bayalag market atm,"23rd khoroo, 1st sector of baatarkhairkhan, 1558",,monday to sunday,09:00,22:00,,,
what time does dunjingarav trade center atm close?,20:00,dunjingarav trade center atm,"micro-region #6, narni rd, dunjingarav trade center",,tue-sun 10:00-20:00,10:00,20:00,,,
what time does gegee mini market atm close on weekdays?,22:00,gegee mini market atm,"denjiin 1000 white buildings, gegee mini market ",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
is soyombo market атм open on saturday?,closed,soyombo market атм," 14th khoroo, belkh road, dari-ekh, soyombo market 
",1800-1888,mon-sun 8am-9pm,08:00,21:00,,,
"what time does khangai region shopping center, express atm   open?",09:00,"khangai region shopping center, express atm  ","orkhon province, bayan-undur, uurkhaichin, khangai region shopping center",1800-1888,"tue-sun 9am-7pm
mon closed",09:00,19:00,,,
"what time does umnugovi khanbogd branch, express атм open?",09:00,"umnugovi khanbogd branch, express атм",umnugovi province  khanbogd branch,1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
can i visit orkhon market atm on sunday?,closed,orkhon market atm,"micro-region #19, peace avenue, orkhon market",,"mon-sun: 10:00-20:00
thu: closed ",10:00,20:00,,,
is taats alt market atm open on saturday?,closed,taats alt market atm,"22nd khoroo, 6th microdistrict, taats alt hotel and supermarket ",1800-1888,24 hour,00:00,23:59,,,
"what time does mungun taiga center, express atm close on weekdays?",23:00,"mungun taiga center, express atm","12th khoroo, 6th micro district, mungun taiga center",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
"what time does anduud supermarket, express atm close on weekdays?",22:00,"anduud supermarket, express atm","15th khoroo, khan-uul district, khunnu 2222, anduud supermarket
",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what are the weekly opening hours of gmg shopping center?,mon-sun 8am-8pm,gmg shopping center,"9th khoroo, bayankhoshuu street, jantsan bus station, gmg shopping center ",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
"what is the address of dunjingarav trade center, express atm?","bayanzurkh district, 26th khoroo, dunjingarav trade center ","dunjingarav trade center, express atm","bayanzurkh district, 26th khoroo, dunjingarav trade center ",1800-1888,"tue-sun 10am-7:30 pm
monday closed",10:00,19:30,,,
"what are the weekly opening hours of da khuree, one-stop service center atm?",tue-sun 10am-7pm,"da khuree, one-stop service center atm","bayanzurkh district, 17th khoroo, da khuree auto market, one-stop service center ",1800-1888,tue-sun 10am-7pm,10:00,19:00,,,
what are the opening hours of baganuur branch on monday?,8:30am - 04:30pm,baganuur branch,"xacbank building, 1st horoo, natsagdorj street-7/1, baganuur district
what3words: /// temperance.hyperlinks.inexpensive",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the opening hours of sansar branch on monday?,8:30am - 4:30pm,sansar branch,"cre llc building, 13th khoroolol , 3th khoroo, bayanzurkh district
what3words: /// iterative.pave.clarifies",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is efes market atm open on saturday?,closed,efes market atm,"micro-region #6, peace avenue, district #10, efes market",1800-1888,mon-sun 09:00-23:00,09:00,23:00,,,
what time does zavhan branch close on weekdays?,16:30,zavhan branch,"xacbank building, jinst bag, uliastai soum
what3words: /// waddled.papers.comforted",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of govi-altai branch?,1800-1888,govi-altai branch,"xacbank building, harzat bag, central street, esonbulag soum
what3words: /// gaping.numbness.correlation",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does dako center atm close?,23:59,dako center atm,"bayangol district, 14th khoroo, north east in the urgoo movie teatre, dako center ",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what is the phone number of depot station atm for employee?,1800-1888,depot station atm for employee,"3-р хороо, нарны зам, саруул зах замын урд, зүтгүүрийн депо ",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
what is the address of depot station atm for employee?,"3-р хороо, нарны зам, саруул зах замын урд, зүтгүүрийн депо ",depot station atm for employee,"3-р хороо, нарны зам, саруул зах замын урд, зүтгүүрийн депо ",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
"what is the phone number of khangai region shopping center, express atm  ?",1800-1888,"khangai region shopping center, express atm  ","orkhon province, bayan-undur, uurkhaichin, khangai region shopping center",1800-1888,"tue-sun 9am-7pm
mon closed",09:00,19:00,,,
what time does misheel center walking street атм close on weekdays?,21:00,misheel center walking street атм,19th misheel center walking street,1800-1888,mon-sun 8am-10pm,08:00,21:00,,,
what is the address of nomin united store atm?,"micro-region #2, chinggis avenue, nomin united store",nomin united store atm,"micro-region #2, chinggis avenue, nomin united store",1800-1888,mon-sun: 10:00-21:00,10:00,21:00,,,
what time does anurad supermarket атм open?,14:05,anurad supermarket атм,"bayanlkhongor province, bayankhongor, anurad supermarket ",1800-1888,mon-sun 9am-8pm,14:05,14:05,,,
what is the address of xacbank bayangol branch atm?,"micro-region #13, ard ayush avenue,  district #3, xacbank bayangol branch",xacbank bayangol branch atm,"micro-region #13, ard ayush avenue,  district #3, xacbank bayangol branch",1800-1888,mon-sun 24 hour,08:00,23:59,,,
what is the phone number of tushig branch?,1800-1888,tushig branch,"1st floor, tushig center, seoul street, 4th horoo, sukhbaatar district
what3words: /// joys.ally.reduction",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does ord supermarket close?,23:00,ord supermarket,"15th khoroo, sharga morit, ord supermarket ",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
can i visit han-uul branch on sunday?,closed,han-uul branch,"1st floor of noos impex building, 2nd khoroo, khan-uul district
what3words: /// headed.legroom.arrival",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what is the phone number of saruul market, express atm?",1800-1888,"saruul market, express atm","sukhbaatar district, 5-r khoroolol, narnii zam, saruul market",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
"what time does bayanmongol branch, express atm close?",23:59,"bayanmongol branch, express atm","26-р хороо, хүннүгийн гудамж, элизабет хотхон, хас банк баянмонгол тооцооны төв ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does ulaanbaatar department store atm open?,09:00,ulaanbaatar department store atm,"micro-region #4, peace avenue, ulaanbaatar department store",1800-1888,mon-sun: 9:00-20:00,09:00,20:00,,,
"what time does bayan shopping center, express atm  close?",20:00,"bayan shopping center, express atm ","orkhon province, bayan-undur, byan shopping center",1800-1888,mon-sun 10am-8pm,10:20,20:00,,,
can i visit tsambagarav m-mart atm on sunday?,closed,tsambagarav m-mart atm,"14th khoroo, 1st microdistrict, tsambagarav, m-mart",1800-1888,mon-sun 08am-21pm,08:00,21:00,,,
what is the phone number of ulaanbaatar department store atm?,1800-1888,ulaanbaatar department store atm,"micro-region #4, peace avenue, ulaanbaatar department store",1800-1888,mon-sun: 9:00-20:00,09:00,20:00,,,
what are the weekly opening hours of achlal center atm?,mon-sun: 10:00-20:00,achlal center atm,"micro-region #14, ard ayush avenue,  district #3, achlal center",,mon-sun: 10:00-20:00,10:00,20:00,,,
is asait-minii delguur атм open on saturday?,closed,asait-minii delguur атм,"22th khoroo, b. dorj street, asait shopping center, minii delguur",1800-1888,"mon-sun 8am-11pm
",09:00,23:00,,,
what are the weekly opening hours of tsaiz branch атм?,даваа-ням 24 цаг,tsaiz branch атм,"16th khoroo, dandarbaatar street, tsaiz branch",1800-1888,даваа-ням 24 цаг,00:00,23:59,,,
what time does darkhan nekhii shopping center атм close on weekdays?,22:00,darkhan nekhii shopping center атм,"orkhon province, bayan-undur, ikh zaluu, darkhan nekhii shopping center ",1800-1888,mon-sun 10am-10pm,10:00,22:00,,,
is janjin club atm open on saturday?,closed,janjin club atm,"micro-region #12, janjin club",,24 hour,00:00,23:59,,,
what is the address of songinokhairkhan branch lobby crm-atm-2?,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",songinokhairkhan branch lobby crm-atm-2,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",1800-1888,mon-sun 24 hours,00:00,23:59,,,
what are the opening hours of ulaanbaatar railway hospital atm on monday?,closed,ulaanbaatar railway hospital atm,"micro-region #4, peace avenue, ulaanbaatar railway hospital",,mon-sun: 08:00-20:00,08:00,20:00,,,
is khangamj shopping center атм open on saturday?,closed,khangamj shopping center атм,"uvurkhangai province, arvaikheer, central market, khangamj shopping center ",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
what time does sansar supermarket express atm close on weekdays?,22:00,sansar supermarket express atm,"micro-region #18,  district #13, manlai baatar damdinsuren str., sansar supermarket",1800-1888,mon-sun 09:00-22:00,09:00,22:00,,,
"what are the opening hours of khuchirshonkhor branch, express bank  atm on monday?",closed,"khuchirshonkhor branch, express bank  atm","11st khoroo, sambalkhundev road, khuchitshonkhor market",1800-1888,mon-sun 6am-5pm,06:00,17:00,,,
what are the opening hours of bayanzurkh 05 branch lobby atm on monday?,closed,bayanzurkh 05 branch lobby atm,"13rd khoroo, enkhtaivan avenue, 92a-1",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does alt sar market atm open?,09:00,alt sar market atm,"13th committee, 17th station, chingeltei district, alt sar market ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
"can i visit sunday shopping center, express atm on sunday?",closed,"sunday shopping center, express atm","14th khoroo, namyanju street, sunday shopping center",1800-1888,"tue-sun 10am-9pm
monday closed",10:00,21:00,,,
what is the phone number of darkhan nekhii shopping center атм?,1800-1888,darkhan nekhii shopping center атм,"orkhon province, bayan-undur, ikh zaluu, darkhan nekhii shopping center ",1800-1888,mon-sun 10am-10pm,10:00,22:00,,,
what time does bayanzurkh 05 branch lobby atm open?,00:00,bayanzurkh 05 branch lobby atm,"13rd khoroo, enkhtaivan avenue, 92a-1",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does nisdeg mashin auto market close?,19:00,nisdeg mashin auto market,"5th khoroo, ikh toiruu, nisdeg mashin autom market ",1800-1888,mon-sun 10am-7pm,10:00,19:00,,,
what are the weekly opening hours of govisumber branch atm?,mon-sun 8am-11pm,govisumber branch atm,"govisumber province, sumber, minii supermarket ",1800-1888,mon-sun 8am-11pm,00:00,23:59,,,
what is the phone number of summit hotel атм?,1800-1888,summit hotel атм,"7th khoroo, end of 4th microdistrict, summit hotel ",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what is the phone number of misheel center walking street атм?,1800-1888,misheel center walking street атм,19th misheel center walking street,1800-1888,mon-sun 8am-10pm,08:00,21:00,,,
what is the phone number of sutai university атм?,1800-1888,sutai university атм," 5th khoroo, enkhtaivan avenue, kino uildver, sutai university",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
"what are the opening hours of selenge branch, express atm  on monday?",closed,"selenge branch, express atm ","selenge province, sukhbaatar, xac bank selenge branch",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"is kharkhorin market, express atm open on saturday?",closed,"kharkhorin market, express atm","20th khoroo, 1st microdisrict, moscow road, kharkhorin market, b1 floor ",1800-1888,"tue-sun 9pm-19pm
mon closed",09:00,19:00,,,
what time does ikh toiruu khudaldaanii tuv атм close on weekdays?,20:00,ikh toiruu khudaldaanii tuv атм,"9st khoroo, ikh toiruu, market",1800-1888,mon-sun 9am-12pm,09:00,20:00,,,
what are the weekly opening hours of tsogttsetsii branch?,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",tsogttsetsii branch,"xacbank building, tsetsii bag, tsogttsetseii soum
what3words: /// finds.intimates.aerobics",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what time does nalaikh branch, express bank  open?",00:00,"nalaikh branch, express bank ","nalaikh, 2nd khoroo, davaajav street, xac bank nalaikh branch ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"can i visit bayan shopping center, express atm  on sunday?",closed,"bayan shopping center, express atm ","orkhon province, bayan-undur, byan shopping center",1800-1888,mon-sun 10am-8pm,10:20,20:00,,,
what time does selenge branch close?,16:30,selenge branch,"xacbank building, 6th bag, suhbaatar soum
what3words: /// purses.purified.gender",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the weekly opening hours of az market atm?,mon-sun 8am-11pm,az market atm,"18th committee, chingeltei road, chingeltei district, az  market",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
"what time does narnii khoroolol m mart, express atm close?",21:00,"narnii khoroolol m mart, express atm","3st khoroo, narnii khoroolol m mart",1800-1888,mon-sun 9am-21pm,09:00,21:00,,,
"what are the opening hours of khuvsgul erkhes market, express atm  on monday?",closed,"khuvsgul erkhes market, express atm ","khuvsgul province, murun, erkhes market branch",1800-1888,mon-sun 9am-23pm,09:00,23:00,,,
"what is the phone number of tsogttsetsii branch, express atm?",1800-1888,"tsogttsetsii branch, express atm",crm umnugovi tsogttsetsii branch атм,1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does han-uul branch close?,16:30,han-uul branch,"1st floor of noos impex building, 2nd khoroo, khan-uul district
what3words: /// headed.legroom.arrival",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of king restaurant атм?,1800-1888,king restaurant атм,"khovd province, jargalant, ikh mongol towm, king restaurant ",1800-1888,mon-sun 9am-7pm,09:00,19:00,,,
what is the address of ulaangom branch?,"1st floor, uguumur-uguuj llc building, 3rd bag, ulaangom soum
what3words: /// bloodshot.trudges.sake",ulaangom branch,"1st floor, uguumur-uguuj llc building, 3rd bag, ulaangom soum
what3words: /// bloodshot.trudges.sake",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what is the address of shilen market, express atm ?","govi-altai province, esunbulag, shilen market","shilen market, express atm ","govi-altai province, esunbulag, shilen market",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
"what is the address of da khuree mandu, express atm?","bayanzurkh district, 17th khoroo, da khuree auto market, mandu restaurant ","da khuree mandu, express atm","bayanzurkh district, 17th khoroo, da khuree auto market, mandu restaurant ",1800-1888,"мягмар-ням 10:00-18:00 цаг
monday closed",10:00,18:00,,,
"what time does dornod kherlen tt, express атм close?",19:00,"dornod kherlen tt, express атм","dornod province, kherlen, trade street, tana market",1800-1888,mon-sun 9am-07pm,09:00,19:00,,,
is zam zuur supermarket  атм open on saturday?,closed,zam zuur supermarket  атм,"1st khoroo, zam zuur supermarket ",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what time does good price ikh mongol atm close?,23:00,good price ikh mongol atm,"26th khoroo, khunnu street, good price ikh mongol",1800-1888,mon-sun 8:30am-12pm,08:30,23:00,,,
"what is the phone number of khuchirshonkhor branch, express bank  atm?",1800-1888,"khuchirshonkhor branch, express bank  atm","11st khoroo, sambalkhundev road, khuchitshonkhor market",1800-1888,mon-sun 6am-5pm,06:00,17:00,,,
"what time does 22 tovchoo m mart, express bank atm close on weekdays?",21:59,"22 tovchoo m mart, express bank atm","32st khoroo, 22 tovchoo m mart",1800-1888,mon-sun 08-22 hour,07:00,21:59,,,
"what is the phone number of narantuul 2 market, express atm ?",1800-1888,"narantuul 2 market, express atm ","12 khoroo, denjiin 1000 road, narantuul 2 market ",1800-1888,"tue-sun 8am-7pm
monday closed",08:00,19:00,,,
"what are the opening hours of tumbaash branch, express atm  on monday?",closed,"tumbaash branch, express atm ","15th khoroo, 3rd microdistrict, tumbaash branch xac bank ",1800-1888,mon-sun 6am-12pm,06:00,23:59,,,
"what time does da khuree, one-stop service center atm close on weekdays?",19:00,"da khuree, one-stop service center atm","bayanzurkh district, 17th khoroo, da khuree auto market, one-stop service center ",1800-1888,tue-sun 10am-7pm,10:00,19:00,,,
what time does dunjingarav trade center atm close on weekdays?,20:00,dunjingarav trade center atm,"micro-region #6, narni rd, dunjingarav trade center",,tue-sun 10:00-20:00,10:00,20:00,,,
what time does dragon 1 point service centerатм close on weekdays?,18:59,dragon 1 point service centerатм,"17th khoroo, dragon 1 point service center",1800-1888,"mon-sun 9am-6pm
sat-sun closed",09:00,18:59,,,
what time does khusug trade auto onshilgoo atm close?,18:00,khusug trade auto onshilgoo atm,khusug trade auto onshilgoo,1800-1888,mon-sun: 10:00-18:00,10:00,18:00,,,
what time does janjin club atm close?,23:59,janjin club atm,"micro-region #12, janjin club",,24 hour,00:00,23:59,,,
is shur market атм open on saturday?,closed,shur market атм,"dornod province, kherlen, trade street, shur market ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does khentii mart99 atm open?,08:00,khentii mart99 atm,"kherlen sum, ",1800-1888,mon-sun 08:00-00:00,08:00,23:59,,,
is central hospital-1 open on saturday?,closed,central hospital-1,"1-khoroo, central hospital-1",1800-1888,06:00-00:00,06:00,23:59,,,
what are the opening hours of central square branch on monday?,8:30am - 4:30pm,central square branch,"xacbank head office, prime minister amar's street, sukhbaatar district
what3words: /// teaching.placidly.each",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does unur branch open?,08:30,unur branch,"building, аос-43/b, 1st khoroolol, 17th horoo, moscow avenue, songinokhairkhan 
what3words: /// swooning.moderated.unique",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does huvsgul branch close?,16:30,huvsgul branch,"xacbank building, 8th bag, murun soum
what3words: /// fools.thrilled.applauded",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of iron хүнсний дэлгүүр атм?,1800-1888,iron хүнсний дэлгүүр атм,"6th khoroo, iron supermarket ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
"what time does bayangol branch, express bank атм close on weekdays?",23:59,"bayangol branch, express bank атм","13rd khoroo, 4th microdistrict, ard ayush avenue, bayangol branch xac bank",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what are the weekly opening hours of dornogovi sydney атм?,mon-sun 24 hour,dornogovi sydney атм,"dornogovi province, sainshand, sydney dornogovi ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"is dunjingarav trade center, express atm open on saturday?",closed,"dunjingarav trade center, express atm","bayanzurkh district, 26th khoroo, dunjingarav trade center ",1800-1888,"tue-sun 10am-7:30 pm
monday closed",10:00,19:30,,,
what is the address of zamiin-uud lobby cash?,"dornogovi province, zamiin-uud, central square, xacbank",zamiin-uud lobby cash,"dornogovi province, zamiin-uud, central square, xacbank",1800-1888,24/7,00:00,23:59,,,
is ikh mongol branch open on saturday?,closed,ikh mongol branch,"ikh mongol plaza 1st floor, 11th khoroo, khan-uul district
what3words: ///moves.sweeter.blogging",1800-1888,"monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",09:00,17:00,,,
what is the phone number of amaya market atm?,1800-1888,amaya market atm,"23rd committee, revolutionary road, new terminal of zuragt, bayangol dictrict, amaya market ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
what is the phone number of efes market atm?,1800-1888,efes market atm,"micro-region #6, peace avenue, district #10, efes market",1800-1888,mon-sun 09:00-23:00,09:00,23:00,,,
what are the opening hours of khid 2 shopping center  atm on monday?,closed,khid 2 shopping center  atm,"2nd khoroo, north of variete center, khid 2 shopping center ",1800-1888,tue-sun 9:30pm-9pm,09:30,21:00,,,
"what are the opening hours of dornod kherlen tt, express атм on monday?",closed,"dornod kherlen tt, express атм","dornod province, kherlen, trade street, tana market",1800-1888,mon-sun 9am-07pm,09:00,19:00,,,
what is the address of songinohairhan branch?,"1st floor, sapporo shopping center, 12th horoo, songinokhairkhan district
what3words: /// princely.hazy.toolbar",songinohairhan branch,"1st floor, sapporo shopping center, 12th horoo, songinokhairkhan district
what3words: /// princely.hazy.toolbar",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of darhan branch?,1800-1888,darhan branch,"xacbank building, 8th bag, darhan soum
what3words: /// canes.mountainous.whimpered",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does gmg shopping center close?,20:00,gmg shopping center,"9th khoroo, bayankhoshuu street, jantsan bus station, gmg shopping center ",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
what is the phone number of sayamaa market атм?,1800-1888,sayamaa market атм," 9th khoroo, west sonsgolon street, nisekh sayamaa market ",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
"what time does kharkhorin market, express atm close?",19:00,"kharkhorin market, express atm","20th khoroo, 1st microdisrict, moscow road, kharkhorin market, b1 floor ",1800-1888,"tue-sun 9pm-19pm
mon closed",09:00,19:00,,,
"what is the address of uvurkhangai, express atm ?","uvurkhangai province, arvaikheer, xac bank uvurkhangai branch ","uvurkhangai, express atm ","uvurkhangai province, arvaikheer, xac bank uvurkhangai branch ",1800-1888,mon-sun 9am-5:30pm,09:00,17:30,,,
"what time does buyant rashaan, monos pharmacy атм close?",23:00,"buyant rashaan, monos pharmacy атм","selenge province, sukhbaatar, gan zam, buyant rashaan monos pharmacy",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what time does sodon sansar supermarket atm close?,22:00,sodon sansar supermarket atm,"6th khoroo, sodon khoroolol, sansar supermarket",1800-1888,mon-sun 8:30am-10pm,08:30,22:00,,,
is mobile atm open on saturday?,closed,mobile atm,belkhi zuslan,1800-1888,24,00:00,23:00,,,
what are the opening hours of bayanzurkh tovchoo sansar suljee market on monday?,closed,bayanzurkh tovchoo sansar suljee market," 22 tovchoo, sansar suljee market",,mon-sun: 08:00-22:00,08:00,23:00,,,
what is the address of tsaiz branch атм?,"16th khoroo, dandarbaatar street, tsaiz branch",tsaiz branch атм,"16th khoroo, dandarbaatar street, tsaiz branch",1800-1888,даваа-ням 24 цаг,00:00,23:59,,,
what time does arkhangai buren hypermarket atm open?,10:00,arkhangai buren hypermarket atm,arkhangai tsetserleg,,mon-sun 10:00-21:00,10:00,21:00,,,
"can i visit western region shopping center, express atm  on sunday?",closed,"western region shopping center, express atm ","bayanlkhongor province, bayankhongor, western region shopping center ",1800-1888,mon-sun 10am-18pm,10:00,18:00,,,
"can i visit information communication center, express atm  on sunday?",closed,"information communication center, express atm ","tuv province, zuunmod, information communication center",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
what time does bayanmongol branch close?,16:30,bayanmongol branch,"elizabeth town-214, hunnu street, 26th horoo, bayanzurkh district
what3words: /// provide.needed.gossiped",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of nisekh branch atm?,1800-1888,nisekh branch atm,"16th khoroo, wes sonsgolon street, nisekh branch xac bank",1800-1888,mon-sun 7am-12pm,07:00,23:59,,,
what time does sukhbaatar branch lobby atm open?,00:00,sukhbaatar branch lobby atm,"7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank",1800-1888,mon-sun 24 hours,00:00,23:59,,,
is organic market open on saturday?,closed,organic market," 2nd khoroo, west of ulaanbaatar sanatorium, organic market ",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
what is the phone number of demchig khairkhan mini market atm?,1800-1888,demchig khairkhan mini market atm,"chingeltei district, intersection of shadvilan camp, demchig mini market
",1800-1888,mon-sun 9am-12 pm,09:00,23:59,,,
what time does anar supermarket atm open?,08:00,anar supermarket atm,"10th khoroo, wells street, sukhbaatar district,  infront of 16th school, anar supermarket",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what time does nomin supermarket atm close?,22:00,nomin supermarket atm,"darkhan city, nomin supermarket",1800-1888,mon-sun: 9:30-21:30,08:30,22:00,,,
"what are the opening hours of khasy shopping center, express atm on monday?",closed,"khasy shopping center, express atm","arkhangai province, erdenebulgam sum, khasu shopping center",1800-1888,"mon-sat 9am-9pm
sanday closed",09:00,21:00,,,
what are the weekly opening hours of sayamaa market атм?,mon-sun 8am-8pm,sayamaa market атм," 9th khoroo, west sonsgolon street, nisekh sayamaa market ",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
what is the phone number of misheel expo shopping center?,1800-1888,misheel expo shopping center,"2nd khoroo, chinggis avenue, misheel expo shopping center ",1800-1888,mon-sun 9am78pm,09:00,19:00,,,
what time does bayan burd shopping center open?,09:00,bayan burd shopping center,"zavkhan province, uliastai, jinst, bayan burd shopping center",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what time does doloon buudal branch close?,16:30,doloon buudal branch,"2nd floor, khuselt center, /7 buudal/, 14th khoroo, sukhbaatar district
what3words: /// mural.dividing.behaving",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the weekly opening hours of 21 trade center atm?,"wednesday: closed
mon-sun: 10:00-22:00 ",21 trade center atm,"micro-region # 19, uildverchidiin evlel str, district #21, 21 trade center",1800-1888,"wednesday: closed
mon-sun: 10:00-22:00 ",10:00,22:00,,,
"what time does bayangol branch, express bank атм open?",00:00,"bayangol branch, express bank атм","13rd khoroo, 4th microdistrict, ard ayush avenue, bayangol branch xac bank",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what are the opening hours of gegee mini market atm on monday?,closed,gegee mini market atm,"denjiin 1000 white buildings, gegee mini market ",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what is the address of xacbank huvsgul branch atm?,"huvsgul aimag, murun city, xacbank huvsgul branch",xacbank huvsgul branch atm,"huvsgul aimag, murun city, xacbank huvsgul branch",1800-1888,24 hour,00:00,23:59,,,
what is the address of tumbaash branch?,"ard ayush avenue, 15th khoroo, 3rd microdistrict, bayangol district
what3words: ///crafts.singer.seaweed ",tumbaash branch,"ard ayush avenue, 15th khoroo, 3rd microdistrict, bayangol district
what3words: ///crafts.singer.seaweed ",1800-1888,"monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",09:00,17:00,,,
what are the weekly opening hours of shine orchin branch?,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",shine orchin branch," building of ""darkhan teever"" co.,ltd, 6th bag, darkhan soum
what3words: /// edicts.constitutions.palettes",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"is zaisan minii delguur, express atm  open on saturday?",closed,"zaisan minii delguur, express atm ","11st khoroo, zaisan road, minii delguur",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
